Acc_X,Acc_Y,Acc_Z
-2892, 6212, 1764
-1024, 3090, 1018
294, 958, 1080
378, -378, 426
-16, 110, 534
-152, 1080, 434
-458, 1742, -72
-514, 1164, -592
-436, -110, -1038
-392, -940, -1616
-312, -1296, -1932
-246, -1188, -1912
-124, -972, -1804
-40, -868, -1672
10, -826, -1558
-6, -764, -1412
2, -620, -1264
28, -318, -1038
76, 126, -756
86, 642, -488
102, 1114, -252
176, 1950, -100
204, 2806, 128
250, 4052, 268
260, 5594, 460
212, 7078, 584
152, 8191, 772
14, 8191, 904
-184, 8191, 1052
-312, 8191, 1288
-496, 8191, 1604
-562, 8191, 2034
-656, 8191, 2444
-728, 8191, 2740
-736, 8191, 2840
-756, 8191, 2744
-710, 8068, 2546
-676, 7778, 2144
-570, 7874, 1820
-456, 8178, 1428
-322, 8191, 1204
-234, 8191, 1004
-146, 8191, 956
-100, 8191, 936
-96, 8191, 1212
-138, 8191, 1248
-142, 8191, 1312
-146, 8191, 1308
-116, 8191, 1260
-104, 8191, 1292
-90, 8191, 1180
-38, 8191, 1140
-46, 8191, 1128
-18, 8191, 1136
6, 8191, 1120
28, 8191, 1160
42, 7924, 1180
36, 7722, 1188
14, 7336, 1204
88, 7212, 1200
72, 7030, 1168
90, 6792, 1184
82, 6424, 1104
88, 6092, 1060
94, 5788, 1054
90, 5404, 1044
102, 5134, 996
102, 4784, 1008
90, 4442, 988
92, 4092, 988
72, 3810, 1012
52, 3470, 996
42, 3226, 1018
2, 2928, 1026
-6, 2704, 1064
-10, 2486, 1104
-50, 2230, 1112
-60, 2028, 1176
-68, 1824, 1128
-112, 1698, 1172
-100, 1518, 1184
-98, 1424, 1148
-108, 1332, 1136
-112, 1280, 1064
-82, 1280, 1020
-76, 1344, 972
-46, 1430, 912
6, 1592, 836
48, 1792, 752
110, 1986, 656
160, 2300, 628
224, 2590, 592
274, 3010, 584
290, 3366, 548
334, 3890, 560
366, 4420, 524
386, 5082, 518
396, 5754, 510
400, 6306, 456
368, 6912, 416
348, 7380, 352
348, 7774, 304
318, 7974, 180
344, 8016, 36
332, 7960, -84
340, 7718, -248
336, 7500, -420
332, 7256, -448
352, 7040, -516
372, 6918, -514
364, 6930, -460
332, 7008, -400
344, 7136, -288
356, 7324, -196
316, 7454, -38
324, 7592, 16
318, 7660, 84
308, 7640, 156
286, 7542, 152
278, 7420, 132
260, 7242, 120
260, 7078, 52
268, 6890, 44
252, 6692, 28
252, 6498, 24
260, 6356, -18
270, 6202, -24
268, 6050, -48
238, 5850, -68
256, 5712, -64
260, 5476, -80
236, 5290, -144
254, 5084, -128
256, 4884, -192
272, 4638, -196
272, 4438, -208
220, 4256, -192
248, 3988, -188
256, 3824, -184
242, 3648, -176
220, 3464, -156
228, 3274, -164
230, 3152, -164
212, 2988, -164
196, 2858, -152
208, 2740, -188
196, 2638, -212
200, 2552, -204
220, 2454, -228
196, 2420, -192
208, 2382, -236
200, 2376, -212
216, 2352, -232
224, 2382, -212
246, 2452, -180
246, 2568, -112
268, 2708, -60
290, 2872, 16
312, 2988, 80
312, 3110, 152
344, 3242, 168
340, 3456, 248
332, 3604, 300
378, 3806, 352
364, 3980, 424
372, 4226, 506
390, 4402, 552
384, 4602, 608
400, 4828, 664
418, 5042, 712
418, 5190, 732
418, 5376, 776
420, 5536, 844
416, 5672, 828
410, 5776, 880
418, 5848, 896
392, 5896, 892
420, 5938, 884
424, 5904, 892
412, 5974, 888
400, 6000, 884
418, 6008, 836
424, 6022, 832
418, 6040, 828
426, 6074, 836
436, 6096, 844
426, 6068, 820
436, 6120, 824
440, 6094, 808
432, 6022, 832
434, 6000, 848
424, 5922, 832
418, 5864, 840
420, 5728, 852
392, 5568, 856
392, 5468, 856
392, 5328, 876
384, 5204, 836
394, 5118, 888
386, 4966, 888
376, 4856, 844
382, 4688, 836
360, 4584, 836
360, 4440, 872
344, 4328, 848
340, 4160, 840
326, 4042, 820
344, 3922, 800
304, 3806, 832
328, 3684, 804
326, 3580, 832
326, 3480, 812
326, 3394, 768
308, 3280, 756
290, 3204, 768
290, 3164, 780
282, 3102, 744
316, 3088, 748
300, 3052, 756
292, 3064, 712
282, 3088, 724
278, 3122, 712
296, 3162, 664
308, 3230, 672
318, 3368, 620
314, 3468, 536
348, 3572, 484
372, 3684, 480
364, 3768, 432
390, 3872, 384
396, 4000, 340
412, 4140, 308
426, 4244, 308
424, 4382, 248
430, 4472, 288
436, 4594, 224
444, 4698, 208
452, 4832, 188
456, 4928, 200
462, 5022, 168
450, 5088, 128
452, 5156, 144
424, 5196, 156
452, 5260, 120
444, 5298, 120
440, 5324, 100
432, 5342, 128
436, 5360, 96
414, 5410, 68
404, 5364, 64
404, 5348, 68
396, 5348, 24
388, 5346, 48
404, 5304, 40
392, 5290, 52
404, 5240, 10
382, 5212, 40
372, 5144, 52
370, 5100, 32
368, 5032, 18
368, 4974, 20
352, 4914, 2
386, 4824, 4
344, 4742, 14
352, 4684, -2
348, 4594, 28
352, 4480, -20
336, 4416, -10
340, 4342, -16
338, 4260, -12
338, 4144, -2
332, 4074, -20
318, 3970, -10
324, 3904, 8
326, 3852, 24
312, 3772, -28
314, 3666, -28
316, 3628, -36
306, 3556, -48
316, 3500, -2
332, 3468, -36
326, 3438, -28
334, 3374, -32
330, 3316, -14
336, 3320, 30
352, 3300, -6
352, 3320, 24
348, 3316, 20
380, 3336, 48
368, 3394, 64
362, 3450, 96
380, 3438, 92
392, 3512, 160
422, 3568, 156
420, 3598, 200
416, 3632, 232
416, 3676, 248
436, 3754, 284
440, 3810, 336
432, 3888, 324
452, 3924, 368
464, 4032, 396
458, 4090, 452
454, 4160, 452
460, 4276, 464
470, 4348, 524
462, 4400, 532
500, 4462, 560
488, 4520, 580
484, 4572, 564
490, 4624, 604
488, 4656, 580
496, 4682, 584
484, 4708, 608
496, 4752, 620
478, 4766, 624
482, 4764, 604
484, 4814, 608
484, 4814, 640
492, 4824, 672
510, 4816, 648
504, 4820, 660
504, 4788, 688
466, 4762, 668
500, 4748, 692
470, 4736, 684
480, 4680, 696
474, 4652, 712
474, 4596, 696
474, 4554, 712
452, 4516, 676
436, 4456, 732
474, 4404, 712
432, 4334, 720
432, 4334, 708
440, 4268, 740
422, 4182, 704
404, 4124, 688
408, 4062, 712
412, 3986, 696
396, 3948, 688
402, 3892, 700
400, 3844, 672
394, 3814, 684
382, 3768, 696
368, 3736, 676
364, 3672, 664
356, 3668, 644
368, 3610, 656
390, 3628, 640
348, 3630, 652
356, 3600, 624
366, 3598, 620
360, 3608, 616
344, 3608, 604
344, 3628, 596
348, 3648, 544
360, 3664, 540
