Acc_X,Acc_Y,Acc_Z
-228, -3764, -2104
-134, -3676, -2772
-286, -3480, -3188
-566, -3400, -3824
-740, -3318, -4416
-720, -3040, -5260
-844, -2958, -5616
-862, -2914, -6044
-912, -2602, -6588
-990, -2322, -7256
-1134, -2096, -7712
-1144, -1746, -8192
-1222, -1372, -8192
-1466, -1080, -8192
-1606, -878, -7944
-1620, -572, -7400
-1584, -400, -6504
-1404, -160, -6148
-1218, 92, -5940
-794, 388, -5580
-522, 854, -5352
-464, 1388, -4940
-544, 1686, -3556
-480, 1828, -2188
-380, 2100, -708
-54, 2348, 574
300, 2306, 2062
566, 1976, 3160
680, 2084, 4248
750, 2114, 5174
390, 1792, 6424
-72, 1426, 7068
-552, 1724, 7172
-636, 1784, 6908
-732, 1840, 6768
-762, 2044, 6686
-348, 2204, 7222
326, 1872, 8191
768, 1290, 8191
1430, 868, 8191
1138, 708, 8191
548, 510, 8191
182, 972, 8191
-122, 332, 8191
234, 616, 8191
418, 574, 8191
516, 436, 8191
544, 324, 8191
776, 146, 8191
964, -72, 8191
1222, -534, 8191
952, -642, 8191
824, -456, 8191
484, -344, 8191
418, -182, 8191
-108, -210, 8191
-276, -300, 8191
-242, -248, 8191
-34, -120, 8191
246, -58, 8191
324, -304, 8191
282, -312, 8191
88, -72, 8191
2, 210, 8191
-42, 16, 8191
-254, 386, 8191
-746, 588, 8191
-544, 598, 8056
-454, 434, 7816
-370, 534, 7532
-156, 700, 6636
-36, 946, 5984
28, 850, 5624
-166, 846, 5060
-512, 998, 3700
-888, 1104, 2498
-666, 640, 1638
-644, 354, 1624
-778, 748, 986
-932, 288, 1408
-828, 178, 1236
-372, 162, 1156
-448, -2, 608
-386, -44, 212
-280, 204, -772
-122, 180, -1720
-368, -80, -2740
-472, -176, -3456
-380, -176, -4352
-388, -378, -4588
-348, -716, -4672
-234, -912, -4654
-172, -1184, -4496
-164, -1346, -4436
-164, -1518, -4712
-102, -1534, -5284
-180, -1556, -5764
-234, -1750, -5984
-252, -1868, -6160
-128, -1860, -6208
-156, -2048, -5804
-238, -2224, -5352
-340, -2378, -4872
-360, -2456, -4700
-340, -2564, -4580
-348, -2690, -4536
-346, -2780, -4448
-256, -2828, -4264
-200, -2944, -3920
-212, -3104, -3584
-240, -3184, -3372
-276, -3308, -3128
-276, -3360, -2844
-342, -3530, -2296
-522, -3632, -1960
-580, -3710, -1716
-604, -3736, -1484
-428, -3764, -1432
-344, -3824, -1392
-230, -3870, -1372
-102, -3846, -1376
-84, -3816, -1396
-180, -3810, -1404
-212, -3734, -1408
-238, -3728, -1532
-176, -3744, -1468
-124, -3740, -1660
-96, -3710, -1844
-120, -3708, -1976
-208, -3672, -2052
-334, -3642, -2024
-386, -3646, -2056
-464, -3676, -1936
-508, -3700, -1808
-630, -3716, -1812
-690, -3724, -1952
-684, -3634, -2224
-724, -3490, -2296
-724, -3646, -2184
-618, -3512, -2304
-566, -3394, -2436
-660, -3530, -2712
-676, -3344, -3004
-770, -3198, -3650
-986, -3040, -4228
-1056, -2864, -4776
-1138, -2784, -5138
-1162, -2664, -5452
-1280, -2562, -5512
-1452, -2444, -5412
-1462, -2320, -5332
-1476, -2128, -5268
-1390, -2040, -5064
-1240, -1950, -5148
-1020, -1712, -5428
-828, -1404, -5660
-640, -1236, -5756
-426, -1036, -5868
-298, -586, -6120
-404, -314, -5892
-364, 12, -5288
-634, 344, -4640
-870, 644, -3586
-1056, 696, -2324
-1004, 756, -1272
-1038, 820, -412
-1252, 730, 788
-762, 890, 1288
-544, 1100, 1420
14, 1310, 1880
478, 1110, 2636
496, 1032, 3140
514, 1296, 3532
384, 1284, 4280
122, 1068, 4980
76, 1084, 5360
-20, 1120, 5552
-172, 1144, 5262
-456, 1566, 5356
-194, 1854, 5808
180, 1772, 7132
368, 1386, 8191
572, 1150, 8191
680, 1096, 8191
692, 1088, 8191
578, 1352, 8191
750, 1538, 8191
924, 1416, 8191
1208, 1318, 8191
1620, 1322, 8191
1506, 984, 8191
1644, 772, 8191
1446, -54, 8191
1452, 384, 8191
1212, 690, 8191
946, 580, 8191
1022, 568, 8191
1038, 624, 8191
920, 652, 8191
922, 656, 8191
900, 568, 8191
1108, 772, 8191
1144, 1058, 8191
1086, 1132, 8191
1214, 1104, 8191
1440, 1020, 8191
1472, 820, 8191
1380, 604, 8191
836, 1044, 8191
242, 1460, 8191
-178, 1810, 8132
-498, 1872, 6852
-560, 2006, 5832
-386, 1988, 4992
-216, 1770, 4980
-82, 1586, 5072
414, 1500, 5028
684, 986, 5812
584, 1348, 6308
272, 1066, 6316
326, 1452, 5332
20, 2284, 3700
-486, 2624, 2134
-876, 2612, 538
-916, 2480, -1336
-896, 2240, -2380
-854, 1870, -3064
-470, 1288, -3352
-86, 726, -3208
224, 292, -3212
336, 54, -3512
156, -114, -3604
-120, -306, -4166
-346, -176, -4706
-638, -332, -5356
-1236, -626, -5608
-1566, -836, -6104
-1772, -942, -6508
-1824, -1236, -6344
-1732, -1438, -6104
-1716, -1652, -6040
-1684, -1832, -5788
-1696, -1976, -5732
-1764, -2066, -5696
-1784, -2222, -5576
-1764, -2296, -5388
-1732, -2500, -5076
-1598, -2630, -4804
-1384, -2686, -4608
-1224, -2776, -4134
-1104, -2936, -3664
-1096, -3084, -3144
-1052, -3174, -2840
-1016, -3290, -2732
-946, -3396, -2616
-902, -3480, -2496
-840, -3498, -2404
-884, -3604, -2320
-864, -3598, -2452
-808, -3602, -2392
-856, -3620, -2256
-854, -3620, -2236
-812, -3600, -2360
-860, -3580, -2348
-770, -3588, -2124
-732, -3508, -2032
-648, -3506, -1880
-580, -3504, -1920
-522, -3462, -1984
-514, -3484, -2028
-456, -3442, -2244
-488, -3390, -2496
-538, -3390, -2616
-670, -3382, -2760
-808, -3384, -3004
-960, -3304, -3384
-1192, -3174, -3868
-1300, -3050, -4220
-1422, -2888, -4348
-1510, -2820, -4348
-1554, -2718, -4400
-1684, -2504, -4860
-1836, -2312, -5400
-1880, -2114, -6120
-1812, -1980, -6680
-1692, -1716, -7172
-1554, -1564, -7144
-1510, -1336, -7144
-1500, -1076, -7180
-1560, -734, -7292
-1580, -388, -7368
-1688, -40, -7104
-1678, 192, -6600
-1436, 564, -6072
-1374, 826, -5332
-1168, 1032, -4376
-806, 1210, -3560
-544, 1560, -3106
-666, 1912, -2324
-964, 1948, -1392
-724, 1964, -308
-480, 2108, 432
58, 2182, 1060
618, 2546, 1172
1252, 3322, 2010
1960, 2690, 4126
2270, 1638, 6778
2372, 1276, 7932
2056, 1262, 8040
1410, 1414, 8060
176, 1292, 6540
-702, 1656, 6524
-876, 1440, 7404
-1016, 1438, 7674
-540, 1452, 7592
-164, 1662, 7812
606, 1768, 8191
1262, 1828, 8191
1748, 1616, 8191
2160, 1166, 8191
1908, 986, 8191
1922, 540, 8191
1288, 516, 8191
528, 578, 8191
2, 734, 8191
46, 1366, 8191
202, 558, 8191
906, 540, 8191
1244, 656, 8191
1776, 422, 8191
1720, 248, 8191
1720, 274, 8191
1584, 266, 8191
1194, 226, 8191
968, 204, 8191
588, 326, 8191
352, 474, 8191
268, 512, 8191
146, 622, 8191
316, 634, 8191
448, 420, 8191
628, 340, 8191
880, 340, 8191
812, -122, 8191
496, 582, 8191
430, 950, 8191
98, 1278, 7282
60, 1472, 5796
100, 1604, 4800
296, 1552, 4352
678, 1196, 4784
570, 902, 5504
648, 634, 5828
500, 882, 5104
392, 624, 4696
418, 1010, 4484
146, 1288, 4388
28, 1470, 2732
-90, 1460, 1312
74, 1534, -124
116, 1656, -940
168, 1270, -2012
-94, 670, -2552
-62, 488, -2256
108, 198, -2236
-32, -198, -2220
4, -336, -2864
86, -324, -3896
-134, -484, -4840
-216, -600, -6120
-486, -480, -7076
-750, -738, -7472
-1162, -1070, -7320
-1404, -1474, -6540
-1448, -1694, -5944
-1462, -1816, -5142
-1504, -1902, -4744
-1308, -1954, -4548
-1080, -2024, -4464
-842, -2216, -4296
-534, -2312, -4148
-332, -2412, -3988
-364, -2578, -3984
-448, -2716, -4138
-518, -2844, -4344
-566, -2976, -4388
-648, -3126, -4020
-758, -3264, -3712
-788, -3300, -3392
-876, -3260, -2928
-988, -3480, -2284
-1242, -3656, -1868
-1276, -3694, -1492
-1156, -3702, -1252
-1034, -3716, -1308
-816, -3652, -1546
-768, -3672, -1884
-600, -3638, -2132
-340, -3580, -2460
-238, -3546, -2640
-274, -3558, -2884
-244, -3588, -3132
-282, -3520, -3118
-374, -3486, -2872
-430, -3424, -2536
-532, -3446, -2066
-838, -3402, -1808
-940, -3494, -1748
-998, -3420, -1908
-1038, -3304, -2264
-1134, -3284, -2460
-1130, -3170, -2800
-988, -3122, -3156
-984, -3028, -3600
-1000, -2966, -3984
-1080, -2796, -4560
-1170, -2598, -5134
-1388, -2456, -5544
-1658, -2270, -6124
-1818, -2044, -6596
-1802, -1880, -7332
-1912, -1668, -7684
-1908, -1400, -7636
-1908, -1214, -7332
-1976, -988, -6656
-2088, -836, -6296
-2252, -508, -6364
-2204, -210, -6552
-1878, 120, -6528
-1444, 292, -6408
-1028, 726, -6596
-490, 1162, -6444
-156, 1494, -5584
66, 1794, -4916
-66, 2544, -4134
-406, 2572, -2680
-914, 2676, -1264
-1252, 2992, 160
-1336, 2940, 1574
-1316, 2688, 2784
-920, 2632, 3056
-546, 2780, 3536
-134, 2506, 4384
374, 2032, 5212
912, 1988, 5176
1112, 2426, 4804
1184, 3264, 4408
908, 3174, 5012
520, 3380, 6028
350, 3324, 7916
24, 2746, 8191
-352, 2114, 8191
-392, 1880, 8191
-374, 1776, 8191
-528, 1708, 8191
-382, 1668, 8191
-94, 1616, 8191
204, 1776, 8191
562, 1876, 8191
622, 1848, 8191
820, 1518, 8191
934, 1554, 8191
766, 1518, 8191
784, 1462, 8191
688, 1232, 8191
732, 1014, 8191
552, 604, 8191
212, 488, 8191
-138, 416, 8191
-440, 656, 8191
-886, 742, 8191
-1036, 812, 8191
-972, 846, 8191
-812, 920, 8191
-418, 1006, 8191
-54, 1054, 8191
338, 972, 8191
322, 766, 8191
230, 804, 8191
216, 756, 8191
2, 768, 8191
-290, 730, 8191
-292, 514, 8191
-580, 1138, 8191
-538, 1772, 8191
-260, 1776, 8124
-124, 1802, 7128
212, 2196, 5848
544, 2322, 4852
758, 2076, 4180
636, 2308, 3436
404, 2110, 3204
8, 1858, 3008
-718, 1794, 2668
-990, 2024, 2704
-1330, 1546, 2952
-1418, 1314, 2396
-1118, 1232, 1136
-746, 1284, -744
-426, 954, -1960
76, 482, -2760
