Acc_X,Acc_Y,Acc_Z
46, -4010, -1136
-102, -3996, -1420
-68, -3798, -1828
-216, -3850, -2244
-222, -3710, -2900
-330, -3608, -3484
-510, -3352, -4694
-530, -2894, -6040
-658, -2594, -7324
-820, -2274, -8024
-864, -1966, -8192
-1046, -1844, -8192
-1206, -1694, -8192
-1032, -1422, -7950
-890, -1142, -8128
-806, -996, -7940
-574, -660, -7944
-452, -206, -7664
-798, 242, -7360
-812, 694, -7004
-1136, 1018, -6000
-1326, 996, -4198
-1344, 756, -2716
-1084, 774, -1824
-672, 820, -1400
-452, 928, -1020
-294, 1188, -704
-108, 1474, 40
304, 1808, 924
666, 1958, 2654
894, 2044, 4654
1038, 1728, 5622
902, 1802, 6432
406, 1764, 6792
146, 1824, 7160
458, 1140, 7162
646, 1638, 8191
930, 1040, 8191
1288, 936, 8191
1488, 816, 8191
1362, 750, 8191
858, 704, 8191
364, 534, 8191
-58, 544, 8191
-160, 1032, 8080
-238, 764, 8191
48, 564, 8191
682, 478, 8191
1332, 378, 8191
1686, 136, 8191
1898, -40, 8191
2004, -176, 8191
1956, -236, 8191
1824, -132, 8191
1584, -108, 8191
1358, -118, 8191
1094, -114, 8191
908, -92, 8191
772, -136, 8191
920, -170, 8191
996, -132, 8191
1178, -40, 8191
1248, 42, 8191
1470, 204, 8191
1562, 352, 8191
1594, 408, 8191
1450, 496, 8191
1086, 680, 8191
824, 830, 8191
524, 924, 8191
440, 1064, 7884
340, 1088, 7194
174, 1124, 6644
180, 1210, 6340
170, 1052, 6244
156, 976, 6384
68, 800, 6572
-230, 748, 6308
-456, 1054, 5384
-650, 1180, 4324
-936, 1132, 3460
-998, 1108, 2252
-836, 1048, 1372
-772, 866, 664
-764, 768, 144
-728, 664, -276
-698, 572, -580
-728, 488, -852
-686, 382, -1092
-706, 266, -1116
-684, 76, -1284
-600, -36, -1452
-484, -126, -1940
-388, -334, -2574
-234, -360, -3376
-180, -436, -4156
-168, -706, -4612
-156, -864, -5004
-206, -944, -5284
-364, -1108, -5240
-552, -1256, -5132
-644, -1362, -5104
-744, -1470, -5072
-784, -1712, -4924
-836, -1888, -4872
-832, -2048, -4860
-820, -2104, -4932
-804, -2206, -4980
-806, -2278, -4928
-872, -2454, -4642
-994, -2624, -4476
-1138, -2720, -4572
-1242, -2686, -4836
-1252, -2748, -4984
-1316, -2840, -4884
-1224, -2976, -4764
-1152, -3004, -4396
-1116, -3088, -4008
-1098, -3144, -3844
-1044, -3238, -3560
-952, -3336, -3240
-920, -3364, -2960
-848, -3416, -2574
-816, -3400, -2428
-798, -3420, -2264
-808, -3416, -2256
-864, -3360, -2308
-920, -3420, -2324
-942, -3390, -2552
-820, -3262, -2888
-816, -3240, -3024
-856, -3256, -3068
-854, -3240, -3372
-880, -3148, -3944
-1056, -2984, -4384
-1248, -2970, -4668
-1370, -3008, -4828
-1440, -2906, -5256
-1680, -2646, -5584
-1842, -2486, -6028
-2118, -2382, -6352
-2126, -2238, -6800
-2174, -1980, -7308
-2304, -1590, -7872
-2398, -1236, -8192
-2712, -986, -8192
-2804, -734, -8192
-2838, -430, -8192
-3000, 10, -8192
-2904, 604, -8192
-2780, 1036, -8192
-2610, 1490, -8192
-2406, 1790, -7424
-2070, 2296, -6304
-1782, 2676, -5150
-1608, 3126, -4138
-1524, 3208, -2308
-1358, 3172, -998
-1138, 3052, -2
-990, 3140, 472
-780, 3020, 792
-354, 3084, 1192
118, 3300, 1514
956, 3536, 2284
1732, 3512, 4126
2210, 3182, 5492
2466, 3048, 6096
2278, 3252, 5840
1642, 3576, 5664
1280, 3776, 6036
1416, 4352, 5912
1576, 3966, 8191
1462, 3040, 8191
1448, 2378, 8191
1790, 2006, 8191
1802, 2040, 8191
2092, 2044, 8191
2434, 1928, 8191
2926, 1716, 8191
3324, 1858, 8191
2606, 1272, 8191
3280, 1306, 8191
