Acc_X,Acc_Y,Acc_Z
-880, -2856, -5912
-898, -2764, -6164
-1016, -2686, -6292
-994, -2472, -6460
-932, -2244, -6624
-938, -2040, -6764
-924, -1832, -6548
-932, -1686, -6160
-1018, -1544, -5528
-1004, -1572, -4186
-972, -1528, -3448
-740, -1368, -2964
-548, -1172, -2668
-438, -1006, -2256
-256, -772, -2024
-94, -608, -1768
-82, -448, -1396
-22, -224, -688
106, -14, 268
234, 154, 1356
602, 54, 2900
1018, -76, 3812
1316, -176, 4686
1058, -492, 5260
674, -684, 5300
136, -730, 5240
-510, -1018, 5320
-1194, -886, 4904
-1580, -576, 4524
-1440, -384, 4456
-1050, -340, 5024
-632, -262, 5606
56, -280, 5404
246, -240, 5568
356, -308, 5848
318, -274, 5960
94, -262, 6156
-164, -420, 6424
-496, -540, 6500
-702, -430, 6288
-606, -266, 6468
-364, -316, 7424
-60, -364, 8191
238, -418, 8191
502, -612, 8191
570, -386, 8191
740, -384, 8191
836, -324, 8191
850, -204, 8191
792, -96, 8191
640, -292, 8191
518, -492, 8191
422, -672, 8191
400, -780, 8191
404, -722, 8191
392, -684, 8191
384, -686, 8191
300, -638, 8191
296, -470, 8191
370, -420, 8191
508, -296, 8191
644, -188, 8191
758, -148, 8191
606, -72, 8191
408, 226, 8191
262, 376, 8191
40, 486, 8191
-144, 548, 8191
-260, 676, 8191
-264, 712, 8191
-324, 842, 7730
-294, 1032, 6332
-172, 1244, 5008
-186, 1344, 3644
-430, 1288, 2860
-302, 1074, 2240
-456, 1096, 1696
-526, 786, 1372
-788, 698, 1136
-846, 582, 1300
-896, 292, 1324
-936, 210, 560
-728, 208, -328
-430, 196, -1212
-180, -12, -1900
-80, -204, -2388
160, -414, -2936
276, -548, -3634
164, -724, -4060
-80, -928, -4276
-290, -1072, -4388
-522, -1252, -4480
-762, -1392, -4564
-846, -1532, -4728
-850, -1750, -4772
-798, -1862, -5012
-716, -1946, -5088
-644, -2016, -5264
-584, -1974, -5708
-620, -2048, -6216
-724, -2200, -6432
-764, -2304, -6640
-820, -2370, -6660
-820, -2490, -6396
-794, -2656, -5936
-902, -2896, -5488
-932, -2992, -5052
-878, -3110, -4642
-784, -3210, -3670
-622, -3492, -2660
-456, -3680, -1676
-326, -3924, -1018
-294, -4036, -456
-276, -4112, -80
-226, -4116, 196
-176, -4078, 176
-94, -4088, -16
-50, -4036, -232
-94, -3996, -388
-94, -3940, -712
-152, -3844, -1116
-120, -3788, -1612
-200, -3694, -1944
-268, -3658, -2308
-268, -3572, -2644
-308, -3488, -2964
-426, -3450, -3156
-576, -3330, -3356
-732, -3282, -3552
-840, -3182, -3796
-928, -3070, -3956
-1020, -3032, -4180
-1002, -2828, -4634
-1138, -2690, -5332
-1128, -2512, -5760
-1116, -2446, -6140
-1138, -2372, -6556
-1178, -2218, -6916
-1208, -2070, -7180
-1226, -1746, -7332
-1356, -1550, -7168
-1480, -1310, -7008
-1502, -1076, -6660
-1500, -890, -6260
-1418, -738, -5820
-1268, -644, -5440
-1078, -500, -5012
-916, -356, -4620
-652, -160, -4252
-404, 66, -4024
-136, 290, -3808
