Acc_X,Acc_Y,Acc_Z
-586, 2632, 478
-560, 2004, 256
-668, 344, -482
8191, -7242, -6924
-2314, -4902, -6622
138, -4680, -5292
-24, -2724, 3856
-330, -834, 1042
-254, -924, 948
-360, -1356, -180
-448, -1408, -578
-390, -1080, -530
-246, -594, -484
-100, 28, -372
46, 354, -384
212, 824, -344
330, 1474, -292
458, 2322, -164
592, 3488, -2
672, 4648, 156
684, 6074, 296
660, 8016, 420
552, 8191, 568
400, 8191, 700
124, 8191, 864
-124, 8191, 956
-310, 8191, 1292
-430, 8191, 1700
-494, 8191, 2084
-496, 8191, 2408
-396, 8191, 2460
-330, 8191, 2520
-264, 7882, 2500
-172, 7444, 2328
-88, 7394, 2000
16, 7670, 1796
94, 8162, 1568
164, 8191, 1392
182, 8191, 1296
164, 8191, 1324
134, 8191, 1356
94, 8191, 1426
68, 8191, 1432
60, 8191, 1388
86, 8191, 1336
134, 8191, 1140
182, 8191, 974
216, 8191, 856
278, 8191, 764
324, 8054, 708
356, 7740, 712
374, 7496, 716
376, 7292, 760
382, 7066, 828
364, 6882, 868
370, 6644, 1002
360, 6472, 1022
340, 6236, 1096
-4712, 8191, -7174
-3700, 6148, 3514
-2280, 1802, -236
-1100, 4294, 4400
-326, 5934, 7860
-496, 5088, 3606
-426, 3248, 1980
-456, 2832, 1792
-298, 2092, 316
-216, 1962, -220
-66, 1944, -78
46, 1526, -176
-20, 1312, 164
-88, 1150, 296
-46, 954, 440
16, 812, 736
10, 604, 756
14, 582, 828
-40, 572, 788
46, 644, 728
140, 846, 518
232, 1124, 268
378, 1478, 88
460, 1842, -52
504, 2218, -48
558, 2630, -10
596, 3078, 180
644, 3568, 360
634, 4278, 560
648, 4858, 812
650, 5554, 932
654, 6262, 1060
604, 6802, 1100
570, 7372, 1072
540, 7640, 952
504, 7794, 748
470, 7720, 556
466, 7514, 256
484, 7224, 24
506, 6766, -256
516, 6480, -436
562, 6200, -530
576, 6052, -588
606, 5922, -564
616, 5904, -508
600, 5964, -436
640, 6128, -308
606, 6316, -212
604, 6494, -60
612, 6688, -10
606, 6774, 48
584, 6844, 128
570, 6828, 128
552, 6762, 164
552, 6588, 192
540, 6398, 164
504, 6190, 156
492, 6022, 156
500, 5818, 180
496, 5650, 156
466, 5466, 136
472, 5316, 132
480, 5212, 116
474, 5082, 88
470, 4948, 32
474, 4798, 10
460, 4694, -48
444, 4556, -52
448, 4416, -100
448, 4272, -148
444, 4076, -156
424, 3936, -168
452, 3764, -160
440, 3624, -164
422, 3448, -156
402, 3320, -148
412, 3184, -112
392, 3060, -100
404, 2932, -120
396, 2824, -96
388, 2712, -92
388, 2664, -96
374, 2590, -96
404, 2556, -76
394, 2534, -88
418, 2544, -80
452, 2584, -64
484, 2702, 4
486, 2792, 28
514, 2918, 60
514, 3052, 112
530, 3162, 184
564, 3330, 216
584, 3388, 208
596, 3516, 280
612, 3638, 308
610, 3800, 372
636, 3914, 380
644, 4060, 420
640, 4248, 500
636, 4402, 556
654, 4540, 584
666, 4686, 592
676, 4856, 672
672, 5004, 700
676, 5116, 716
674, 5252, 748
696, 5340, 756
680, 5388, 784
688, 5486, 788
680, 5534, 800
676, 5572, 800
672, 5576, 800
676, 5572, 832
696, 5584, 808
680, 5560, 836
676, 5572, 816
688, 5572, 828
666, 5528, 784
672, 5506, 760
680, 5506, 792
688, 5480, 780
672, 5450, 792
676, 5434, 784
672, 5372, 784
676, 5324, 764
664, 5266, 756
676, 5198, 796
