Acc_X,Acc_Y,Acc_Z
1436, -3912, 112
1790, -3846, 164
2008, -3836, 228
2202, -3760, 498
2506, -3696, 736
2594, -3688, 680
2712, -3620, 736
3420, -3352, 452
4168, -3252, 416
4560, -3248, 448
5102, -3118, 324
5342, -2932, 24
5748, -2750, -120
6122, -2456, -392
6096, -2326, -448
5868, -2066, -344
5610, -1966, -584
5282, -1690, -792
4812, -1538, -924
4388, -1388, -996
4284, -1352, -876
4560, -1120, -580
4596, -1060, -292
4170, -884, -172
3486, -540, -312
2288, -194, -312
1280, 62, -348
142, 172, -136
-1160, -98, 584
-2178, -570, 1572
-2770, -594, 2058
-3342, -830, 2356
-3900, -872, 2452
-4692, -842, 2200
-5562, -876, 2016
-6148, -686, 1784
-6272, -596, 1676
-6392, -784, 2016
-6666, -1122, 2660
-7288, -1184, 3000
-7654, -794, 4040
-8192, -1682, 2260
-8192, -1842, 3660
-8192, -1410, 2752
-8192, -1504, 3296
-8192, -1426, 3256
-8192, -1452, 2692
-8192, -1452, 2308
-8192, -1300, 2104
-8192, -1526, 1900
-8192, -1646, 2164
-8192, -1630, 1768
-8192, -1316, 1688
-8084, -1348, 1912
-8096, -1616, 2200
-8192, -1704, 2208
-8192, -1580, 1964
-8192, -1564, 1712
-8192, -1624, 1704
-8192, -1724, 1588
-8192, -1686, 1542
-8192, -1590, 1508
-8192, -1524, 1492
-8038, -1552, 1736
-7654, -1548, 1880
-7288, -1416, 1612
-7088, -1352, 1356
-6864, -1192, 1188
-6860, -1140, 1276
-7220, -1152, 1620
-7012, -1100, 1972
-6562, -854, 2078
-5934, -776, 2320
-5130, -690, 2168
-4762, -638, 1920
-4276, -624, 1720
-4152, -486, 1552
-3766, -404, 1252
-3382, -246, 868
-2654, -158, 860
-1836, -44, 1164
-1020, -66, 1376
190, -116, 1388
1150, -132, 1534
2498, -482, 1424
3576, -954, 1672
4840, -1072, 1400
5546, -1174, 736
5676, -1260, 400
5366, -1144, -44
4916, -1028, -156
4574, -1110, 316
4810, -1204, 892
5264, -1318, 1472
5604, -1426, 1688
5838, -1504, 1562
6064, -1456, 1038
5922, -1436, 464
5864, -1412, -506
5972, -1396, -1236
6086, -1376, -1916
6484, -1340, -2472
6654, -1400, -2460
6906, -1408, -2132
7118, -1432, -1976
7136, -1508, -1844
6916, -1538, -1724
6648, -1520, -1616
6510, -1482, -1524
6286, -1554, -1340
6030, -1680, -1256
5836, -1632, -1288
5574, -1568, -1292
5420, -1564, -1252
5522, -1584, -1228
5798, -1564, -1260
6318, -1404, -1404
6898, -1352, -1632
7402, -1288, -1844
7672, -1084, -2086
7588, -872, -2212
