Acc_X,Acc_Y,Acc_Z
-318, -3494, -3658
-392, -3386, -4176
-444, -3188, -4900
-488, -3070, -5288
-672, -3000, -5436
-666, -2952, -5596
-774, -2932, -5674
-862, -2646, -6152
-858, -2296, -6676
-858, -1980, -6888
-1012, -1724, -6748
-1026, -1554, -6304
-1012, -1334, -5720
-876, -1104, -5356
-784, -832, -4848
-576, -694, -4328
-596, -412, -3408
-702, -240, -2548
-486, -188, -1628
-152, -110, -1092
-36, 234, -944
74, 534, -804
46, 898, -692
-164, 1416, -152
-228, 1748, 1554
-62, 1482, 3134
124, 1404, 4684
496, 614, 5780
602, 544, 6090
508, 430, 6190
528, 362, 5976
422, 314, 6272
-12, 520, 6186
-308, 812, 6212
-1518, 620, 6152
-2262, 378, 6170
-2196, 482, 6056
-1732, 604, 5520
-1224, 1314, 5540
-592, 1068, 5686
168, 760, 5690
872, 768, 6742
1646, 760, 7218
2062, 712, 8056
2176, 858, 8191
1676, 996, 8191
956, 1072, 8191
38, 1186, 7920
-356, 1306, 7730
-462, 1430, 7880
-202, 1790, 8191
628, 1634, 8191
1506, 1422, 8191
2230, 1152, 8191
2952, 1228, 8191
3402, 866, 8191
3176, 740, 8191
2508, 1106, 8191
2070, 1204, 8191
1620, 1312, 8191
1416, 1118, 8191
1270, 1028, 8191
1298, 1152, 8191
1520, 1262, 8191
1584, 1152, 8191
1512, 1330, 8191
1536, 1702, 8191
1510, 1888, 8191
1544, 2076, 8191
1414, 2144, 8191
846, 2340, 8191
-102, 2500, 8191
-738, 3008, 8191
-944, 3248, 7504
-920, 3262, 6604
-680, 3216, 5602
-344, 3126, 4952
-300, 3000, 4044
-320, 2936, 3042
-414, 2992, 1640
-444, 2844, 528
-438, 2584, -612
-494, 2310, -1184
-640, 1902, -1516
-886, 1538, -1884
-1166, 1218, -2232
-1370, 842, -2594
-1234, 452, -2884
-956, 180, -3208
-676, -66, -3276
-684, -288, -3312
-648, -392, -3772
-744, -486, -4500
-928, -638, -4972
-1038, -838, -5512
-1064, -968, -5840
-972, -1172, -6220
-858, -1368, -6300
-748, -1668, -6172
-642, -1874, -6068
-518, -2100, -5920
-360, -2400, -5504
-320, -2680, -4856
-300, -2780, -4400
-228, -2898, -3968
-138, -3084, -3456
-90, -3256, -3048
-96, -3408, -2544
-94, -3488, -2332
-34, -3498, -2112
-120, -3642, -1844
-200, -3684, -1550
-248, -3684, -1550
-322, -3684, -1550
-392, -3740, -1512
-440, -3728, -1566
-434, -3716, -1788
-396, -3706, -2088
-404, -3688, -2128
-364, -3628, -2200
-404, -3620, -2168
-388, -3588, -2188
-454, -3566, -2180
-412, -3486, -2308
-394, -3448, -2344
-422, -3440, -2264
-440, -3442, -2284
-444, -3404, -2376
-420, -3356, -2644
-432, -3352, -2864
-526, -3304, -3240
-716, -3258, -3556
-880, -3264, -3904
-950, -3188, -4192
-986, -3132, -4424
-1186, -3122, -4572
-1334, -3126, -4828
-1432, -2966, -5124
-1426, -2746, -5408
-1562, -2664, -5408
-1510, -2572, -5420
-1368, -2416, -5724
-1308, -2264, -5980
-1116, -2144, -6096
-1026, -1940, -6236
-1020, -1712, -6548
-1090, -1374, -6816
-1268, -1116, -7340
-1466, -754, -7556
-1532, -374, -7568
-1824, 190, -7328
-1888, 442, -6444
-1790, 712, -5620
-1634, 858, -4380
-1174, 1002, -3720
-988, 1334, -3120
-928, 1682, -2716
-792, 1914, -2200
-682, 2382, -1636
-342, 3034, -820
68, 3244, 884
-24, 3024, 2630
2, 2746, 4578
2, 2182, 6226
-458, 1888, 7436
4, 1268, 7460
-736, 1256, 7292
-308, 1132, 6682
-436, 2006, 6144
-190, 2512, 5650
100, 2662, 6088
182, 2494, 7100
322, 2174, 8191
560, 2036, 8191
444, 1626, 8191
186, 1202, 8191
98, 900, 8191
110, 854, 8191
242, 988, 8191
422, 872, 8191
714, 936, 8191
1114, 936, 8191
1564, 802, 8191
1652, 690, 8191
1444, 598, 8191
1218, 556, 8191
972, 216, 8191
778, 310, 8191
744, 184, 8191
748, 166, 8191
834, 22, 8191
780, 54, 8191
762, 148, 8191
842, 364, 8191
838, 494, 8191
950, 576, 8191
938, 572, 8191
900, 556, 8191
922, 630, 8191
984, 790, 8191
934, 854, 8191
794, 764, 8191
636, 746, 8191
420, 824, 8191
282, 986, 8191
-126, 1300, 8191
-326, 1502, 8191
-536, 1604, 7432
-570, 1756, 6088
-750, 1910, 4928
-618, 1820, 3864
-372, 1768, 3284
-186, 1610, 3200
-96, 1252, 3232
-212, 1032, 3328
-364, 1132, 2988
-472, 1214, 2604
-636, 1086, 2062
-1080, 944, 1364
-1108, 992, 380
-1030, 816, -506
-1072, 660, -1388
-662, 292, -1792
-414, -6, -1956
-348, -370, -2120
-234, -552, -2344
-232, -668, -2372
-300, -750, -2288
-364, -820, -2508
-488, -836, -3000
-616, -852, -3692
-714, -972, -4320
-820, -1100, -4828
-798, -1252, -5276
-690, -1344, -5844
-550, -1430, -6212
-380, -1756, -6240
-272, -1914, -6124
-252, -2078, -6036
-296, -2216, -5888
-356, -2316, -5640
-272, -2378, -5312
-234, -2412, -5072
-244, -2516, -4952
-312, -2736, -4856
-536, -2796, -4836
-516, -2850, -4632
-508, -2868, -4416
-456, -2962, -4072
-466, -3028, -3880
-570, -3128, -3800
-596, -3224, -3724
-536, -3276, -3492
-578, -3384, -3000
-566, -3450, -2720
-496, -3472, -2590
-482, -3472, -2532
-400, -3534, -2504
-348, -3490, -2582
-320, -3494, -2688
-290, -3472, -2704
-388, -3500, -2572
-484, -3484, -2396
-522, -3428, -2288
-488, -3438, -2284
-424, -3454, -2280
-374, -3412, -2424
-268, -3366, -2612
-238, -3248, -2904
-234, -3264, -3208
-264, -3178, -3576
-320, -2948, -3988
-504, -2864, -4180
-684, -2784, -4308
-770, -2664, -4556
-842, -2548, -4736
-960, -2366, -5244
-998, -2212, -5652
-912, -2062, -6024
-840, -1802, -6344
-672, -1426, -6548
-552, -1152, -6680
-444, -894, -6328
-522, -686, -5644
-596, -412, -4932
-858, -102, -4484
-1024, 266, -4088
-1042, 366, -3172
-1140, 666, -2832
-1292, 864, -2296
-1392, 1036, -1816
-1418, 1292, -820
-1372, 1608, 292
-1274, 1720, 1708
-902, 1768, 2392
-40, 2106, 3022
860, 1818, 4476
1398, 906, 6808
1702, 126, 8191
1658, -452, 8191
1462, -508, 8191
-292, -142, 6892
-832, 542, 5372
-1186, 990, 4160
-1540, 1468, 4192
-1134, 1426, 4654
-880, 1278, 5666
-116, 1238, 6888
846, 946, 8191
1562, 456, 8191
1764, 250, 8191
1744, 242, 8191
1484, 496, 8191
640, 668, 8191
170, 648, 8191
-156, 650, 8191
30, 680, 8191
428, 696, 8191
832, 790, 8191
1410, 836, 8191
2006, 630, 8191
2332, 396, 8191
2464, 92, 8191
2148, 92, 8191
1510, 262, 8191
1046, 396, 8191
670, 352, 8191
488, 412, 8191
474, 396, 8191
650, 430, 8191
692, 314, 8191
728, 352, 8191
846, 470, 8191
876, 500, 8191
718, 504, 8191
606, 616, 8191
544, 644, 7820
404, 780, 7284
388, 790, 6992
348, 686, 6676
318, 604, 6168
242, 720, 5600
156, 724, 5364
-112, 642, 5244
-260, 704, 5320
-244, 626, 5480
-226, 668, 5236
-356, 664, 4776
-444, 730, 3804
-514, 808, 3066
-690, 730, 2156
-842, 568, 1496
-820, 638, 560
