Acc_X: 246, Acc_Y: 7094, Acc_Z: 6
Acc_X: 274, Acc_Y: 7120, Acc_Z: 156
Acc_X: 260, Acc_Y: 7082, Acc_Z: 196
Acc_X: 224, Acc_Y: 6986, Acc_Z: 184
Acc_X: 220, Acc_Y: 6860, Acc_Z: 204
Acc_X: 216, Acc_Y: 6732, Acc_Z: 176
Acc_X: 204, Acc_Y: 6542, Acc_Z: 156
Acc_X: 212, Acc_Y: 6340, Acc_Z: 128
Acc_X: 192, Acc_Y: 6250, Acc_Z: 140
Acc_X: 200, Acc_Y: 6074, Acc_Z: 112
Acc_X: 216, Acc_Y: 5912, Acc_Z: 64
Acc_X: 204, Acc_Y: 5762, Acc_Z: 40
Acc_X: 204, Acc_Y: 5542, Acc_Z: 10
Acc_X: 224, Acc_Y: 5356, Acc_Z: 8
Acc_X: 220, Acc_Y: 5196, Acc_Z: 2
Acc_X: 208, Acc_Y: 5008, Acc_Z: -44
Acc_X: 216, Acc_Y: 4828, Acc_Z: -40
Acc_X: 204, Acc_Y: 4584, Acc_Z: -40
Acc_X: 212, Acc_Y: 4430, Acc_Z: -80
Acc_X: 238, Acc_Y: 4226, Acc_Z: -100
Acc_X: 216, Acc_Y: 4018, Acc_Z: -112
Acc_X: 216, Acc_Y: 3810, Acc_Z: -96
Acc_X: 208, Acc_Y: 3632, Acc_Z: -68
Acc_X: 200, Acc_Y: 3468, Acc_Z: -100
Acc_X: 204, Acc_Y: 3290, Acc_Z: -80
Acc_X: 204, Acc_Y: 3162, Acc_Z: -64
Acc_X: 216, Acc_Y: 2976, Acc_Z: -84
Acc_X: 196, Acc_Y: 2876, Acc_Z: -56
Acc_X: 216, Acc_Y: 2712, Acc_Z: -72
Acc_X: 200, Acc_Y: 2656, Acc_Z: -44
Acc_X: 204, Acc_Y: 2520, Acc_Z: -14
Acc_X: 192, Acc_Y: 2468, Acc_Z: -60
Acc_X: 230, Acc_Y: 2382, Acc_Z: -44
Acc_X: 204, Acc_Y: 2326, Acc_Z: -48
Acc_X: 204, Acc_Y: 2300, Acc_Z: -44
Acc_X: 220, Acc_Y: 2300, Acc_Z: -26
Acc_X: 226, Acc_Y: 2308, Acc_Z: -6
Acc_X: 260, Acc_Y: 2364, Acc_Z: -6
Acc_X: 264, Acc_Y: 2444, Acc_Z: -20
Acc_X: 282, Acc_Y: 2582, Acc_Z: 48
Acc_X: 330, Acc_Y: 2692, Acc_Z: 124
Acc_X: 340, Acc_Y: 2866, Acc_Z: 164
Acc_X: 368, Acc_Y: 2958, Acc_Z: 200
Acc_X: 368, Acc_Y: 3100, Acc_Z: 280
Acc_X: 386, Acc_Y: 3210, Acc_Z: 292
Acc_X: 368, Acc_Y: 3364, Acc_Z: 328
Acc_X: 392, Acc_Y: 3476, Acc_Z: 364
Acc_X: 408, Acc_Y: 3636, Acc_Z: 424
Acc_X: 418, Acc_Y: 3784, Acc_Z: 502
Acc_X: 420, Acc_Y: 3970, Acc_Z: 528
Acc_X: 440, Acc_Y: 4130, Acc_Z: 568
Acc_X: 464, Acc_Y: 4350, Acc_Z: 624
Acc_X: 428, Acc_Y: 4494, Acc_Z: 672
Acc_X: 448, Acc_Y: 4692, Acc_Z: 724
Acc_X: 440, Acc_Y: 4852, Acc_Z: 748
Acc_X: 460, Acc_Y: 5042, Acc_Z: 772
Acc_X: 478, Acc_Y: 5174, Acc_Z: 776
Acc_X: 466, Acc_Y: 5324, Acc_Z: 820
Acc_X: 452, Acc_Y: 5436, Acc_Z: 828
Acc_X: 448, Acc_Y: 5514, Acc_Z: 868
Acc_X: 448, Acc_Y: 5616, Acc_Z: 860
Acc_X: 462, Acc_Y: 5704, Acc_Z: 868
Acc_X: 474, Acc_Y: 5736, Acc_Z: 884
Acc_X: 466, Acc_Y: 5780, Acc_Z: 884
Acc_X: 466, Acc_Y: 5784, Acc_Z: 868
Acc_X: 474, Acc_Y: 5818, Acc_Z: 876
Acc_X: 456, Acc_Y: 5870, Acc_Z: 884
Acc_X: 456, Acc_Y: 5844, Acc_Z: 880
Acc_X: 470, Acc_Y: 5884, Acc_Z: 876
Acc_X: 484, Acc_Y: 5900, Acc_Z: 852
Acc_X: 460, Acc_Y: 5888, Acc_Z: 892
Acc_X: 460, Acc_Y: 5874, Acc_Z: 916
Acc_X: 474, Acc_Y: 5856, Acc_Z: 908
Acc_X: 466, Acc_Y: 5828, Acc_Z: 872
Acc_X: 448, Acc_Y: 5774, Acc_Z: 880
Acc_X: 466, Acc_Y: 5736, Acc_Z: 896
Acc_X: 462, Acc_Y: 5650, Acc_Z: 920
Acc_X: 460, Acc_Y: 5550, Acc_Z: 912
Acc_X: 454, Acc_Y: 5446, Acc_Z: 876
Acc_X: 440, Acc_Y: 5338, Acc_Z: 896
Acc_X: 440, Acc_Y: 5264, Acc_Z: 884
Acc_X: 440, Acc_Y: 5130, Acc_Z: 904
Acc_X: 414, Acc_Y: 5074, Acc_Z: 928
Acc_X: 430, Acc_Y: 4922, Acc_Z: 896
Acc_X: 422, Acc_Y: 4832, Acc_Z: 900
Acc_X: 418, Acc_Y: 4688, Acc_Z: 896
Acc_X: 404, Acc_Y: 4576, Acc_Z: 876
Acc_X: 408, Acc_Y: 4462, Acc_Z: 852
Acc_X: 394, Acc_Y: 4352, Acc_Z: 860
Acc_X: 400, Acc_Y: 4244, Acc_Z: 860
Acc_X: 382, Acc_Y: 4118, Acc_Z: 856
Acc_X: 392, Acc_Y: 4004, Acc_Z: 872
Acc_X: 392, Acc_Y: 3888, Acc_Z: 848
Acc_X: 364, Acc_Y: 3800, Acc_Z: 848
Acc_X: 400, Acc_Y: 3686, Acc_Z: 856
Acc_X: 352, Acc_Y: 3616, Acc_Z: 860
Acc_X: 356, Acc_Y: 3524, Acc_Z: 868
Acc_X: 364, Acc_Y: 3468, Acc_Z: 848
Acc_X: 348, Acc_Y: 3400, Acc_Z: 864
Acc_X: 374, Acc_Y: 3382, Acc_Z: 844
Acc_X: 348, Acc_Y: 3328, Acc_Z: 828
Acc_X: 352, Acc_Y: 3316, Acc_Z: 820
Acc_X: 348, Acc_Y: 3268, Acc_Z: 800
Acc_X: 348, Acc_Y: 3290, Acc_Z: 828
Acc_X: 334, Acc_Y: 3308, Acc_Z: 756
Acc_X: 340, Acc_Y: 3372, Acc_Z: 740
Acc_X: 348, Acc_Y: 3444, Acc_Z: 728
Acc_X: 356, Acc_Y: 3516, Acc_Z: 684
Acc_X: 394, Acc_Y: 3600, Acc_Z: 636
Acc_X: 386, Acc_Y: 3696, Acc_Z: 588
Acc_X: 378, Acc_Y: 3796, Acc_Z: 568
Acc_X: 374, Acc_Y: 3898, Acc_Z: 510
Acc_X: 400, Acc_Y: 3980, Acc_Z: 480
Acc_X: 404, Acc_Y: 4078, Acc_Z: 400
Acc_X: 422, Acc_Y: 4156, Acc_Z: 392
Acc_X: 440, Acc_Y: 4304, Acc_Z: 340
Acc_X: 428, Acc_Y: 4398, Acc_Z: 340
Acc_X: 422, Acc_Y: 4464, Acc_Z: 312
Acc_X: 418, Acc_Y: 4592, Acc_Z: 312
Acc_X: 422, Acc_Y: 4680, Acc_Z: 288
Acc_X: 424, Acc_Y: 4780, Acc_Z: 296
Acc_X: 428, Acc_Y: 4880, Acc_Z: 260
Acc_X: 416, Acc_Y: 4970, Acc_Z: 252
Acc_X: 412, Acc_Y: 5028, Acc_Z: 208
Acc_X: 424, Acc_Y: 5100, Acc_Z: 216
Acc_X: 420, Acc_Y: 5136, Acc_Z: 192
Acc_X: 420, Acc_Y: 5178, Acc_Z: 172
Acc_X: 432, Acc_Y: 5220, Acc_Z: 192
Acc_X: 410, Acc_Y: 5198, Acc_Z: 136
Acc_X: 384, Acc_Y: 5232, Acc_Z: 156
Acc_X: 396, Acc_Y: 5228, Acc_Z: 140
Acc_X: 380, Acc_Y: 5238, Acc_Z: 164
Acc_X: 400, Acc_Y: 5212, Acc_Z: 124
Acc_X: 374, Acc_Y: 5216, Acc_Z: 140
Acc_X: 386, Acc_Y: 5208, Acc_Z: 128
Acc_X: 374, Acc_Y: 5156, Acc_Z: 136
Acc_X: 360, Acc_Y: 5136, Acc_Z: 132
Acc_X: 364, Acc_Y: 5100, Acc_Z: 132
Acc_X: 360, Acc_Y: 5074, Acc_Z: 152
Acc_X: 348, Acc_Y: 5022, Acc_Z: 148
Acc_X: 352, Acc_Y: 4970, Acc_Z: 116
Acc_X: 348, Acc_Y: 4906, Acc_Z: 116
Acc_X: 338, Acc_Y: 4836, Acc_Z: 108
Acc_X: 336, Acc_Y: 4752, Acc_Z: 108
Acc_X: 348, Acc_Y: 4692, Acc_Z: 132
Acc_X: 334, Acc_Y: 4572, Acc_Z: 56
Acc_X: 336, Acc_Y: 4498, Acc_Z: 92
Acc_X: 330, Acc_Y: 4432, Acc_Z: 108
Acc_X: 326, Acc_Y: 4346, Acc_Z: 112
Acc_X: 324, Acc_Y: 4256, Acc_Z: 92
Acc_X: 316, Acc_Y: 4172, Acc_Z: 96
Acc_X: 318, Acc_Y: 4070, Acc_Z: 100
Acc_X: 312, Acc_Y: 3992, Acc_Z: 72
Acc_X: 326, Acc_Y: 3912, Acc_Z: 104
Acc_X: 328, Acc_Y: 3832, Acc_Z: 88
Acc_X: 300, Acc_Y: 3754, Acc_Z: 84
Acc_X: 304, Acc_Y: 3684, Acc_Z: 52
Acc_X: 316, Acc_Y: 3608, Acc_Z: 76
Acc_X: 318, Acc_Y: 3554, Acc_Z: 52
Acc_X: 314, Acc_Y: 3484, Acc_Z: 80
Acc_X: 316, Acc_Y: 3430, Acc_Z: 88
Acc_X: 304, Acc_Y: 3392, Acc_Z: 80
Acc_X: 304, Acc_Y: 3334, Acc_Z: 124
Acc_X: 314, Acc_Y: 3300, Acc_Z: 96
Acc_X: 344, Acc_Y: 3278, Acc_Z: 124
Acc_X: 334, Acc_Y: 3264, Acc_Z: 100
Acc_X: 332, Acc_Y: 3218, Acc_Z: 132
Acc_X: 336, Acc_Y: 3208, Acc_Z: 108
Acc_X: 332, Acc_Y: 3238, Acc_Z: 124
Acc_X: 372, Acc_Y: 3304, Acc_Z: 148
Acc_X: 382, Acc_Y: 3304, Acc_Z: 164
Acc_X: 368, Acc_Y: 3382, Acc_Z: 212
Acc_X: 372, Acc_Y: 3428, Acc_Z: 176
Acc_X: 382, Acc_Y: 3452, Acc_Z: 224
Acc_X: 374, Acc_Y: 3498, Acc_Z: 280
Acc_X: 406, Acc_Y: 3528, Acc_Z: 264
Acc_X: 416, Acc_Y: 3576, Acc_Z: 288
Acc_X: 408, Acc_Y: 3604, Acc_Z: 332
Acc_X: 422, Acc_Y: 3688, Acc_Z: 360
Acc_X: 406, Acc_Y: 3718, Acc_Z: 376
Acc_X: 434, Acc_Y: 3800, Acc_Z: 404
Acc_X: 422, Acc_Y: 3884, Acc_Z: 436
Acc_X: 454, Acc_Y: 3910, Acc_Z: 472
Acc_X: 450, Acc_Y: 4004, Acc_Z: 520
Acc_X: 456, Acc_Y: 4056, Acc_Z: 520
Acc_X: 470, Acc_Y: 4156, Acc_Z: 544
Acc_X: 484, Acc_Y: 4244, Acc_Z: 532
Acc_X: 470, Acc_Y: 4302, Acc_Z: 576
Acc_X: 492, Acc_Y: 4364, Acc_Z: 564
Acc_X: 484, Acc_Y: 4424, Acc_Z: 576
Acc_X: 496, Acc_Y: 4460, Acc_Z: 576
Acc_X: 484, Acc_Y: 4512, Acc_Z: 628
Acc_X: 504, Acc_Y: 4554, Acc_Z: 616
Acc_X: 484, Acc_Y: 4580, Acc_Z: 628
Acc_X: 492, Acc_Y: 4628, Acc_Z: 652
Acc_X: 500, Acc_Y: 4650, Acc_Z: 652
Acc_X: 488, Acc_Y: 4672, Acc_Z: 660
Acc_X: 500, Acc_Y: 4696, Acc_Z: 668
Acc_X: 488, Acc_Y: 4748, Acc_Z: 656
Acc_X: 492, Acc_Y: 4716, Acc_Z: 700
