Acc_X,Acc_Y,Acc_Z
1440, -3796, -344
1610, -3806, -292
1796, -3758, -196
1912, -3754, -124
1956, -3680, -2
2464, -3490, -368
2934, -3480, -180
3296, -3528, -18
3796, -3380, -184
4202, -3252, -384
4556, -3120, -368
4850, -3200, -288
5092, -3224, -32
4900, -3022, 220
4378, -2948, 372
3808, -2798, 452
3324, -2656, 526
3092, -2520, 568
2784, -2344, 412
2554, -2292, 486
2030, -2368, 522
1662, -2098, 116
1396, -1848, -224
546, -1860, -36
-172, -1794, 192
-814, -1712, 188
-1536, -1816, 580
-2524, -1946, 856
-3066, -1914, 724
-3428, -1824, 494
-3634, -1998, 808
-3840, -2180, 1260
-3890, -2088, 1500
-4144, -2116, 1412
-4880, -2150, 1228
-5530, -2104, 872
-6138, -2004, 720
-6256, -1950, 724
-6282, -2070, 908
-6270, -2088, 1056
-6406, -2196, 1120
-6724, -2174, 1120
-7182, -2248, 1232
-7506, -2264, 1316
-7844, -2276, 1356
-7960, -2232, 1284
-7978, -2248, 1348
-8070, -1386, 1666
-8192, -2930, 1422
-7576, -2822, 2312
-7606, -2300, 2062
-8038, -2218, 2344
-8192, -2316, 2096
-8192, -2366, 2260
-8192, -2412, 2292
-8192, -2356, 2156
-8192, -2312, 2080
-8040, -2278, 1912
-7520, -2180, 1724
-7160, -2088, 1528
-7024, -2106, 1612
-6766, -2080, 1720
-6496, -2032, 1972
-6072, -2066, 2028
-5876, -2118, 1928
-6008, -2066, 1752
-6142, -1892, 1452
-6004, -1820, 1404
-5734, -1832, 1548
-5460, -1788, 1576
-5156, -1628, 1500
-4482, -1532, 1408
-3642, -1356, 1288
-2990, -1284, 1096
-2244, -1168, 880
-1774, -1078, 564
-1326, -1036, 380
-868, -1054, 232
-566, -1172, 260
-400, -1174, 432
162, -1028, 432
1086, -1132, 600
1734, -1330, 748
2184, -1474, 716
2514, -1440, 388
3140, -1318, -38
3698, -1260, -388
4490, -1244, -600
5234, -1198, -952
6032, -1172, -1232
6672, -1336, -1404
7106, -1416, -1452
7276, -1496, -1448
7210, -1528, -1372
7096, -1560, -1452
7060, -1556, -1472
7184, -1556, -1534
7300, -1648, -1464
7466, -1736, -1376
7598, -1750, -1432
7682, -1728, -1512
7700, -1744, -1576
7684, -1786, -1484
7462, -1802, -1404
7252, -1764, -1344
7136, -1846, -1288
6864, -1872, -1272
6664, -1850, -1300
6344, -1884, -1340
6278, -1836, -1432
6070, -1832, -1296
5766, -1864, -1112
5390, -1816, -1030
4996, -1704, -940
4648, -1596, -928
4348, -1610, -708
4184, -1676, -348
3972, -1728, -168
3430, -1748, 12
2690, -1700, 112
2116, -1638, -116
1360, -1536, -120
662, -1594, 152
516, -1504, 128
628, -1456, 204
630, -1564, 528
326, -1492, 600
-386, -1334, 476
-1082, -1172, 532
-2162, -1288, 844
-3106, -1416, 1100
-3910, -1626, 1184
-4336, -1894, 1384
-4324, -2000, 1632
-4128, -2020, 1764
-3708, -1656, 2340
-3922, -1598, 1716
-3878, -2502, 1336
-3688, -2516, 1568
-3988, -2082, 1760
-4804, -1804, 1888
-5390, -1880, 2054
-5958, -1942, 2284
-6410, -2028, 2812
-7020, -2144, 3076
-7612, -2326, 3328
-7952, -2440, 3436
-8024, -2538, 3500
-8192, -2600, 3364
-8192, -2540, 2968
-8192, -2464, 2448
-8192, -2500, 2168
-8192, -2476, 1756
-8192, -2436, 1504
-8192, -2438, 1404
-8192, -2420, 1424
-8192, -2444, 1620
-8192, -2528, 1848
-8192, -2578, 2088
-8192, -2516, 2240
-8192, -2524, 2360
-8192, -2444, 2304
-8192, -2292, 2120
-8114, -2204, 2058
-7768, -2074, 2096
-7214, -1992, 1980
-6628, -1890, 1804
-6218, -1798, 1588
-5868, -1724, 1368
-5632, -1640, 1236
-5416, -1620, 1192
-5150, -1582, 1216
-4754, -1624, 1284
-4576, -1658, 1284
-4254, -1564, 1236
-3778, -1572, 1196
-3192, -1416, 1320
-2576, -1400, 1448
-1826, -1308, 1456
-1448, -1306, 1460
-850, -1356, 1256
-294, -1334, 836
386, -1348, 546
878, -1416, 364
1578, -1560, 308
2086, -1656, 216
2354, -1730, 212
2650, -1720, 164
3136, -1704, 192
3762, -1668, 92
4334, -1700, 48
4898, -1760, 16
5212, -1716, -164
5552, -1672, -340
