Acc_X,Acc_Y,Acc_Z
-544, -3148, -4680
-618, -3062, -5296
-792, -2992, -5576
-878, -2844, -5984
-952, -2780, -6008
-950, -2580, -6332
-816, -2352, -6524
-806, -2100, -6876
-846, -1864, -7124
-880, -1518, -7252
-840, -1194, -7284
-858, -854, -7036
-1004, -616, -6512
-960, -360, -5972
-884, -230, -4876
-806, 132, -4280
-622, 240, -3154
-640, 396, -2188
-360, 548, -952
-98, 758, 128
198, 824, 1474
500, 588, 3228
360, 586, 3980
422, 618, 4740
382, 600, 5288
296, 482, 5952
-158, 278, 6644
-420, 288, 7282
-858, 76, 6770
-456, -110, 7092
-270, -270, 7876
-256, -794, 8186
-426, -666, 7620
-264, -474, 6980
20, -404, 6682
108, -378, 6844
188, -424, 7012
46, -474, 7384
-24, -470, 7448
-252, -456, 7428
-344, -496, 7648
-128, -548, 8191
28, -802, 8191
264, -1114, 8191
500, -1162, 8191
386, -1180, 8191
194, -1162, 8191
-20, -1096, 8191
-160, -1124, 8191
-152, -1158, 8191
-120, -1292, 8191
-128, -1362, 8191
-108, -1422, 8191
-160, -1360, 8191
-316, -1228, 8191
-352, -1184, 8191
-286, -1210, 8191
-90, -1162, 8191
268, -938, 8191
536, -794, 8191
636, -880, 8191
400, -780, 8191
228, -532, 8191
-20, -166, 8191
-470, -76, 8191
-750, 50, 8191
-892, 120, 7746
-914, 240, 7272
-736, 340, 7152
-442, 262, 7288
-538, 210, 7096
-684, 388, 6348
-688, 656, 5228
-782, 696, 4396
-820, 638, 4114
-816, 616, 3488
-848, 620, 2680
-916, 608, 2136
-968, 514, 1796
-870, 548, 1312
-714, 440, 1160
-986, 96, 1120
-1004, 52, 664
-1112, 112, 276
-1236, 40, -92
-1156, -48, -896
-924, -72, -1700
-758, -268, -2216
-608, -412, -2648
-342, -542, -3316
-178, -616, -4114
-194, -806, -4608
-238, -1028, -4992
-280, -1288, -5320
-340, -1432, -5368
-468, -1520, -5244
-518, -1584, -5176
-566, -1724, -5112
-652, -1864, -5232
-644, -1972, -5428
-632, -2062, -5568
-526, -2158, -5768
-422, -2196, -6080
-330, -2266, -6324
-336, -2426, -6288
-382, -2524, -6096
-518, -2616, -5924
-670, -2658, -5676
-930, -2758, -5576
-1106, -2870, -5368
-1148, -2930, -5252
-1146, -3066, -4824
-946, -3104, -4420
-788, -3164, -3888
-598, -3252, -3336
-386, -3360, -2574
-356, -3452, -2092
-366, -3580, -1684
-244, -3584, -1500
-204, -3650, -1336
-106, -3708, -1320
60, -3748, -1444
112, -3766, -1668
216, -3768, -1888
182, -3776, -2070
60, -3784, -2172
-172, -3744, -2110
-344, -3650, -2212
-420, -3556, -2260
-504, -3476, -2344
-578, -3428, -2696
-600, -3250, -3236
-668, -3022, -3820
-854, -2862, -4396
-1012, -2674, -5476
-1060, -2438, -6448
-1076, -2256, -7456
-1054, -2028, -7980
-1042, -1828, -8192
-1164, -1556, -8192
-1134, -1288, -7968
-1378, -1042, -7210
-1664, -842, -6308
-1736, -576, -5564
-1692, -326, -5206
-1484, -126, -4872
-994, 80, -4820
-554, 334, -4684
-130, 556, -4524
8, 896, -4184
-10, 1170, -3932
-290, 1796, -3472
-680, 2130, -2188
-1052, 2404, -1070
-1142, 2628, 34
-936, 2880, 1534
-648, 2478, 3570
-372, 1978, 5036
-440, 1452, 6320
-600, 1092, 6784
-656, 808, 6732
-644, 986, 6284
-628, 1516, 5772
-456, 1738, 5592
-36, 2158, 5468
94, 1884, 6852
242, 1756, 7896
108, 1604, 8191
-26, 1474, 8191
-116, 1318, 8191
-286, 972, 8191
-374, 618, 8191
-612, 388, 8191
-658, 470, 8191
-400, 616, 8191
-174, 414, 8191
52, 202, 8191
70, 58, 8191
-34, -2, 8191
-138, -44, 8191
-224, -206, 8191
-320, -312, 8191
-356, -426, 8191
-526, -524, 8191
-536, -624, 8191
-666, -598, 8191
-924, -580, 8191
-876, -470, 8191
-854, -336, 8191
-862, -278, 8191
-754, -226, 8191
-580, -206, 8191
-416, -232, 8191
-376, -236, 8191
-312, -214, 8191
-388, -158, 8191
-470, -44, 8191
-492, 142, 8191
-540, 316, 8191
-600, 374, 8060
-668, 434, 7524
-702, 608, 6652
-816, 616, 5840
-720, 568, 4912
-422, 668, 4284
-104, 520, 4092
-128, 268, 4220
-104, 344, 4100
-158, 332, 4116
-360, 274, 4160
-508, 210, 4084
-744, 224, 3676
-840, 252, 2652
-696, 384, 1756
-386, 222, 984
-278, 58, 252
-168, 32, -490
-104, -110, -1008
-100, -262, -1192
-46, -492, -1628
46, -590, -2228
172, -738, -2328
160, -932, -2300
82, -1048, -2336
-72, -1120, -2548
-406, -1166, -2672
-838, -1240, -3064
-1104, -1166, -3872
-1112, -1218, -4836
-1116, -1392, -5556
-1064, -1572, -6168
-916, -1672, -6584
-854, -1868, -6804
-950, -2058, -6706
-1190, -2088, -6608
-1462, -2216, -6288
-1696, -2396, -5832
-1912, -2482, -5556
-1806, -2434, -5368
-1664, -2584, -4784
-1588, -2872, -4412
-1444, -2996, -4344
-1266, -3144, -4228
-1132, -3236, -4126
-890, -3476, -3768
-740, -3658, -3376
-632, -3740, -2916
-570, -3784, -1924
-452, -3884, -884
-496, -4066, 116
-544, -4028, 576
-528, -4026, 652
-418, -3984, 300
-352, -3884, -284
-120, -3796, -788
120, -3740, -1372
184, -3698, -1972
238, -3592, -2352
204, -3484, -2756
-82, -3408, -3020
-234, -3348, -3448
-416, -3208, -3812
-530, -3166, -4284
-640, -2940, -4772
-804, -2664, -5230
-976, -2516, -5740
-1170, -2304, -6508
-1334, -2028, -7308
-1370, -1720, -8192
-1450, -1642, -8192
-1418, -1180, -8192
-1580, -890, -8192
-1536, -500, -8192
-1562, -166, -8192
-1602, 288, -8192
-1590, 728, -8192
-1642, 1262, -8192
-1944, 1612, -7512
-1654, 1860, -6190
-1554, 2072, -5028
-1732, 2378, -4416
-1684, 2564, -3648
-1380, 2854, -3332
-990, 3324, -2836
-688, 3586, -1880
-150, 3810, -352
358, 4074, 1156
714, 4208, 3800
894, 3694, 5948
1142, 3378, 7832
1774, 3126, 8191
1870, 2108, 8191
1288, 1300, 8191
382, 1016, 8191
-518, 1150, 8191
-1318, 1128, 8191
-1180, 1154, 8191
-832, 1154, 8191
-304, 1110, 8191
370, 880, 8191
680, 634, 8191
882, 432, 8191
1076, 224, 8191
758, -152, 8191
150, -388, 8191
-426, -378, 8191
-612, -352, 8191
-408, -412, 8191
-116, -564, 8191
306, -626, 8191
572, -668, 8191
732, -696, 8191
580, -716, 8191
512, -768, 8191
344, -760, 8191
204, -824, 8191
-36, -924, 8191
-164, -932, 8191
-344, -932, 8191
-444, -804, 8191
-484, -682, 8191
-544, -576, 8191
-326, -486, 8191
-184, -500, 8191
56, -548, 8191
46, -576, 8191
200, -504, 8191
290, -426, 8191
-16, -382, 8191
-338, -170, 8191
-434, 144, 8191
-332, 348, 7560
-352, 366, 6888
-364, 328, 6260
-382, 468, 5360
-404, 446, 4968
-666, 486, 4352
-710, 484, 3828
-542, 472, 3356
-322, 418, 3124
-142, 280, 3082
-260, 172, 2976
-466, 176, 2412
-636, 136, 1792
-714, 102, 908
-724, 20, 312
-592, -110, -128
-462, -252, -568
-300, -422, -708
-120, -660, -660
-222, -846, -522
-102, -858, -716
-16, -936, -940
-102, -1076, -1084
-356, -1122, -1554
