Acc_X,Acc_Y,Acc_Z
3054, -3286, -984
3568, -3394, -944
3630, -3336, -868
3880, -3204, -792
3966, -3076, -728
4364, -2962, -576
4484, -2966, -308
4556, -2850, -292
4508, -2624, -272
4272, -2664, 92
3940, -2498, 236
3726, -2314, -40
3494, -1948, -492
2634, -1748, -628
1594, -1474, -736
1168, -1378, -448
418, -1356, -192
-134, -1322, 76
-622, -1400, 92
-1004, -1448, -18
-1510, -1426, -136
-2338, -1490, 68
-2816, -1754, 336
-3416, -1898, 560
-3888, -1950, 712
-4290, -1964, 824
-4372, -1920, 1072
-4040, -1884, 1376
-3900, -1800, 1620
-3836, -1582, 2042
-4400, -1390, 2336
-5634, -1488, 2364
-6552, -2772, 1632
-6696, -2438, 2160
-6904, -1974, 2464
-7254, -1958, 2948
-7458, -2024, 2912
-7874, -2048, 3036
-8192, -2040, 3196
-8192, -2136, 3292
-8192, -2132, 3384
-8192, -2140, 3452
-8192, -2174, 3736
-8192, -2252, 3752
-8192, -2208, 3590
-8192, -2024, 3102
-8192, -1972, 2904
-8192, -1902, 2628
-8192, -1852, 2376
-8192, -1672, 2184
-8192, -1546, 1904
-8192, -1412, 1704
-8192, -1296, 1424
-8150, -1186, 1348
-7870, -1060, 1344
-7942, -1012, 1396
-7862, -794, 1524
-7350, -648, 1538
-6916, -356, 1504
-6296, -244, 1388
-5762, -216, 1168
-4626, -4, 1096
-3538, -2, 968
-2588, 46, 800
-1328, 128, 556
-576, 70, 320
134, -56, 336
640, -92, 328
876, -158, 204
986, -206, 52
950, -316, 48
1004, -400, 104
1400, -504, 168
1950, -664, 284
2476, -812, 320
3372, -856, 184
4146, -876, -76
5208, -1062, -160
5826, -1188, -296
6642, -1284, -372
7162, -1418, -504
7546, -1508, -500
7590, -1490, -522
7558, -1516, -546
7514, -1512, -656
7292, -1548, -648
7048, -1576, -660
6960, -1620, -784
6972, -1690, -900
7040, -1760, -1088
7166, -1794, -1244
7210, -1846, -1284
7184, -1880, -1308
7100, -1892, -1440
6926, -1892, -1500
6798, -1974, -1428
6510, -2014, -1300
6278, -2018, -1244
6056, -2058, -1240
5908, -2110, -1104
5728, -2204, -968
5512, -2188, -900
5434, -2192, -908
5204, -2208, -740
4884, -2172, -556
4404, -2104, -452
4170, -2044, -544
3902, -1884, -584
3612, -1846, -452
3378, -1752, -332
3296, -1594, -476
2964, -1432, -436
2472, -1348, -456
1676, -1142, -608
1108, -914, -608
732, -852, -384
432, -880, 164
290, -868, 396
160, -828, 568
2, -752, 956
-188, -808, 1228
-684, -832, 1408
-1326, -724, 1392
-2196, -624, 1204
-2774, -534, 1100
-3490, -556, 1256
-3992, -790, 1664
-4512, -942, 2256
-4728, -1002, 2680
-5076, -1288, 2816
-5498, -1542, 2676
-5612, -1418, 2464
-5750, -1196, 2360
-5998, -1180, 2606
-6310, -1288, 2792
-6404, -1222, 3216
-6312, -1304, 3532
-6462, -1466, 3884
-7018, -1486, 3824
-7542, -1452, 3692
-8182, -1418, 3556
-8192, -1422, 3560
-8192, -1430, 3568
-8192, -1512, 3566
-8192, -1504, 3428
-8192, -1462, 3184
-8192, -1498, 2996
-8192, -1448, 2756
-8192, -1408, 2476
-8192, -1400, 2416
-8192, -1404, 2324
-8192, -1328, 2120
-8192, -1312, 1908
-8192, -1248, 1780
-8192, -1222, 1558
-8192, -1228, 1432
-8192, -1170, 1412
-8070, -1152, 1364
-7664, -1100, 1372
-7210, -1054, 1400
-6738, -992, 1436
-6178, -938, 1404
-5556, -930, 1308
-5304, -962, 1268
-5020, -950, 1300
-4728, -950, 1264
-4630, -976, 1212
-4482, -1048, 1260
-4046, -1062, 1200
-3634, -1044, 1192
-3026, -944, 1080
-2574, -886, 992
-2060, -892, 904
-1638, -832, 1034
-1060, -816, 1084
-496, -776, 920
436, -984, 960
1098, -1180, 912
1562, -1312, 848
1752, -1386, 636
1704, -1448, 636
1830, -1508, 592
2130, -1444, 420
2390, -1530, 536
2820, -1616, 564
3450, -1650, 356
3976, -1634, 164
5108, -1720, -12
5934, -1896, -88
6888, -1952, -184
7330, -2060, -244
7384, -2044, -264
7196, -1928, -420
6746, -1840, -488
6442, -1802, -542
6232, -1858, -484
6252, -1862, -536
6318, -1952, -644
6456, -1984, -828
6568, -1988, -1034
6568, -1996, -1236
6624, -1984, -1476
6624, -1992, -1620
6540, -2044, -1572
6422, -2064, -1548
6292, -2104, -1592
6094, -2068, -1696
5860, -2058, -1616
5512, -2118, -1468
5242, -2122, -1348
4976, -2114, -1264
4760, -2136, -1052
4520, -2192, -1012
4434, -2222, -880
4486, -2264, -824
4262, -2286, -728
3988, -2240, -664
3642, -2078, -696
3312, -1972, -564
2758, -1860, -504
2420, -1760, -604
2114, -1620, -576
2004, -1520, -492
2022, -1344, -518
1948, -1146, -580
1570, -1096, -584
732, -860, -476
-208, -782, -184
-802, -790, 276
-1038, -836, 524
-1048, -836, 692
-1262, -906, 748
-1670, -916, 1084
-2078, -944, 1488
-2772, -860, 1792
-3010, -880, 2108
-3328, -998, 1968
-3668, -1278, 1828
-4058, -1198, 1916
-4460, -1020, 1936
-4976, -980, 2196
-5242, -1028, 2476
-5184, -1062, 2968
-5360, -1206, 3248
-6436, -1300, 3368
-7378, -1404, 3264
-8008, -1356, 3324
-7968, -1400, 3416
-7790, -1530, 3700
-7616, -1586, 3868
-7522, -1668, 3848
-7706, -1594, 3492
-7974, -1532, 3228
-8192, -1496, 2968
-8192, -1438, 2848
-8192, -1482, 2768
-8192, -1496, 2696
-8192, -1530, 2684
-8192, -1544, 2604
-8192, -1590, 2574
-8192, -1588, 2528
-8192, -1576, 2476
-8192, -1538, 2380
-8192, -1508, 2340
-7956, -1482, 2312
-7660, -1448, 2324
-7450, -1504, 2220
-7186, -1504, 2096
-6838, -1448, 1988
-6728, -1430, 1784
-6740, -1392, 1720
-6622, -1334, 1620
-6436, -1344, 1556
-6178, -1322, 1520
-5750, -1322, 1556
-5398, -1324, 1636
-4888, -1248, 1572
-4550, -1304, 1652
-4184, -1364, 1546
-4136, -1328, 1570
-4080, -1288, 1436
-3948, -1304, 1292
-3638, -1262, 1228
-3128, -1174, 1128
-2568, -1232, 1188
-2170, -1184, 1056
-1790, -1084, 980
-1374, -1022, 700
-950, -1028, 548
-250, -1136, 528
186, -1288, 552
700, -1352, 328
838, -1338, 36
862, -1328, -128
932, -1292, -212
980, -1270, -372
1466, -1280, -244
2182, -1344, -316
3076, -1546, -144
4112, -1736, -196
5304, -1876, -308
6106, -2114, -276
6588, -2330, -196
6502, -2232, -48
6126, -2076, -188
5706, -2022, -188
5492, -1980, -224
5242, -2006, -220
5172, -2016, -324
5250, -2048, -392
5350, -2100, -540
5518, -2128, -736
5716, -2154, -968
5976, -2122, -1128
6098, -2178, -1220
6288, -2162, -1280
6286, -2144, -1400
6222, -2140, -1380
6086, -2150, -1336
5858, -2196, -1252
5720, -2230, -1192
5584, -2234, -1104
5400, -2282, -1020
5320, -2300, -1004
5392, -2252, -1164
5452, -2272, -1300
5330, -2326, -1208
4958, -2364, -1072
4568, -2256, -1096
4390, -2182, -1128
4338, -2108, -1034
4106, -2240, -732
3880, -2244, -608
3778, -2104, -652
3676, -2058, -732
3526, -1980, -488
3274, -1846, -420
3040, -1744, -316
