Acc_X,Acc_Y,Acc_Z
220, -4088, -296
276, -3918, -368
276, -3996, -384
348, -4040, -252
514, -3964, -172
614, -4000, -80
668, -3996, 4
728, -3928, -28
974, -3960, -136
968, -3900, -136
1226, -3896, -128
1352, -3904, -104
1548, -3792, -156
1674, -3724, -248
2002, -3620, -156
2550, -3472, -164
2852, -3472, 20
3330, -3456, 164
3762, -3330, 120
4182, -3270, 60
4258, -3234, 96
4176, -3178, 120
3996, -3044, 124
3712, -2948, 52
3710, -2838, -192
3516, -2750, -356
3154, -2620, -392
2768, -2542, -212
2648, -2320, -120
2394, -2296, 60
1834, -2262, 300
1248, -2078, 128
504, -1898, -136
-56, -1902, -356
-956, -1928, -240
-1668, -1860, -456
-2028, -1936, -468
-1976, -1966, -392
-1916, -2212, 28
-1942, -2314, 364
-2104, -2372, 484
-2136, -2260, 348
-2318, -2204, 396
-2418, -2060, 600
-2754, -2074, 632
-3388, -2086, 672
-4300, -2042, 796
-4858, -2138, 1000
-5400, -1490, 1892
-5954, -2178, 986
-5456, -3232, 1556
-4626, -2850, 1920
-4782, -2544, 2096
-5038, -2304, 1748
-5244, -2158, 1288
-5466, -2138, 1200
-5962, -2172, 1428
-6590, -2260, 1456
-7096, -2420, 1704
-7428, -2420, 1872
-7454, -2378, 2108
-7760, -2506, 2332
-8192, -2724, 2704
-8192, -2750, 2916
-8192, -2746, 3004
-8192, -2660, 2776
-8192, -2660, 2594
-8192, -2546, 2288
-8192, -2486, 2184
-8192, -2442, 2028
-8192, -2360, 1988
-8192, -2316, 2062
-8192, -2296, 2296
-8192, -2274, 2364
-8126, -2110, 2312
-7680, -2018, 2076
-7418, -1920, 2008
-7144, -1802, 1820
-6924, -1652, 1768
-6716, -1642, 1920
-6496, -1542, 2050
-6064, -1370, 1952
-5494, -1262, 1868
-4872, -1038, 1736
-4338, -936, 1456
-3830, -1124, 1356
-3386, -1236, 1336
-3228, -1138, 1196
-3124, -1042, 1196
-2774, -860, 1360
-2212, -564, 1324
-1178, -534, 1312
-438, -620, 1288
392, -576, 988
1090, -634, 380
1698, -734, -40
2082, -820, -204
2448, -876, -456
2576, -860, -484
2576, -882, -396
2896, -906, -416
3332, -1046, -552
4102, -1156, -736
4944, -1100, -968
