Acc_X,Acc_Y,Acc_Z
248, 98, 832
-108, 748, 328
-314, 1466, 76
-436, 1554, -232
-408, 742, -604
-360, -278, -1156
-292, -868, -1588
-198, -1118, -1840
-136, -1068, -1832
-76, -928, -1708
20, -880, -1580
40, -820, -1388
42, -726, -1276
46, -598, -1128
64, -268, -996
116, 148, -792
144, 660, -552
172, 1154, -332
212, 2066, -156
250, 2972, 56
274, 4356, 224
268, 5688, 408
224, 7608, 544
120, 8191, 756
-80, 8191, 884
-256, 8191, 1100
-432, 8191, 1296
-536, 8191, 1680
-626, 8191, 2152
-702, 8191, 2644
-754, 8191, 2872
-732, 8191, 2976
-712, 8191, 2856
-698, 7904, 2540
-620, 7848, 2184
-514, 8042, 1760
-382, 8191, 1380
-264, 8191, 1152
-168, 8191, 1004
-124, 8191, 956
-132, 8191, 1004
-136, 8191, 1256
-130, 8191, 1232
-160, 8191, 1256
-216, 8191, 1592
-150, 8191, 1264
-116, 8191, 1200
-98, 8191, 1068
-44, 8191, 1052
-36, 8191, 1030
30, 8191, 1096
42, 8191, 1072
8, 7978, 1148
32, 7878, 1212
24, 7712, 1276
42, 7466, 1288
54, 7216, 1248
50, 6978, 1248
56, 6678, 1204
58, 6394, 1152
68, 6000, 1116
60, 5696, 1064
84, 5290, 1030
80, 4896, 1030
72, 4558, 1026
72, 4162, 1004
54, 3840, 1034
20, 3538, 1034
6, 3218, 1044
-32, 2968, 1064
-42, 2724, 1080
-46, 2468, 1136
-102, 2240, 1132
-124, 2032, 1168
-146, 1802, 1152
-158, 1650, 1148
-156, 1470, 1172
-176, 1390, 1152
-142, 1268, 1152
-164, 1236, 1120
-160, 1214, 1072
-132, 1212, 992
-96, 1300, 872
-72, 1436, 848
12, 1624, 784
52, 1832, 712
92, 2092, 612
156, 2338, 568
200, 2698, 572
246, 3060, 552
308, 3564, 544
336, 4128, 532
374, 4676, 536
386, 5354, 530
392, 5986, 502
372, 6648, 452
364, 7194, 420
356, 7694, 324
340, 7964, 296
332, 8172, 152
334, 8180, -20
316, 7988, -164
360, 7766, -312
360, 7462, -412
374, 7208, -464
396, 7008, -526
386, 6922, -472
386, 6960, -452
364, 7070, -300
356, 7246, -224
360, 7464, -128
340, 7608, 10
330, 7692, 84
324, 7718, 144
316, 7708, 196
314, 7620, 200
296, 7450, 176
282, 7268, 128
288, 7044, 76
282, 6848, 80
306, 6674, 36
296, 6476, 24
300, 6346, 20
292, 6212, -24
304, 6040, -6
312, 5870, -44
312, 5714, -72
308, 5472, -88
312, 5296, -132
304, 5066, -160
314, 4848, -168
312, 4632, -192
288, 4438, -156
320, 4234, -184
304, 3986, -168
296, 3796, -172
