Acc_X,Acc_Y,Acc_Z
-134, -3668, -2696
-80, -3442, -3590
-206, -3308, -4360
-168, -3140, -5162
-312, -2944, -5856
-558, -2798, -6168
-788, -2664, -6316
-748, -2568, -6210
-644, -2588, -6068
-584, -2274, -6104
-574, -1996, -6224
-460, -1690, -6176
-526, -1414, -6240
-464, -1158, -6166
-418, -858, -5920
-556, -406, -5284
-756, -252, -3698
-788, -288, -2264
-756, -240, -1092
-540, -180, -492
-548, 64, -116
-252, -12, 608
732, -246, 1720
278, 54, 2192
676, 206, 2420
478, 456, 2772
212, 656, 3120
-448, 958, 3324
-858, 1150, 3602
-994, 1528, 4130
-718, 1494, 5832
-42, 1522, 8162
412, 726, 8191
928, 482, 8191
1340, 170, 8191
1304, -340, 8191
1214, -546, 8191
794, -586, 8191
262, -228, 7380
-150, -112, 6324
-482, 106, 5820
-604, 368, 5428
-724, 644, 5592
-628, 616, 6336
-152, 594, 7040
466, 430, 8191
1192, 128, 8191
1532, -262, 8191
1462, -304, 8191
956, -240, 8191
398, -110, 8191
-6, 16, 8191
-298, 28, 8191
-356, 172, 8191
-252, 232, 8191
-42, 176, 8191
196, 54, 8191
502, 40, 8191
860, -8, 8191
1012, 40, 8191
1108, -12, 8191
610, 122, 8191
164, 432, 8191
-90, 716, 8191
-350, 970, 8191
-352, 1088, 8191
-280, 1126, 8191
-146, 1068, 7876
50, 1046, 7616
336, 1032, 7584
504, 992, 7588
256, 1150, 7004
196, 1284, 6194
14, 1376, 5508
-102, 1332, 4972
-334, 1308, 4256
-460, 1436, 3300
-702, 1520, 2664
-850, 1488, 1840
-1104, 1296, 944
-1180, 956, 104
-1256, 920, -468
-1178, 660, -1006
-1028, 388, -1436
-872, 38, -1748
-518, -80, -2020
-218, -346, -2084
-150, -672, -2156
-252, -946, -2404
-240, -950, -2812
-324, -956, -3388
-382, -1076, -3984
-556, -1184, -4520
-500, -1272, -4984
-330, -1328, -5092
-292, -1542, -5432
-264, -1872, -5496
-288, -2028, -5444
-454, -2088, -5468
-544, -2092, -5432
-776, -2240, -5496
-880, -2378, -5456
-850, -2488, -5392
-850, -2536, -5400
-884, -2656, -5428
-910, -2750, -5452
-792, -2832, -5300
-666, -2936, -4904
-536, -2972, -4536
-334, -3162, -3984
-248, -3330, -3070
-138, -3568, -2320
-154, -3732, -1518
-298, -3912, -1056
-338, -3962, -876
-348, -3936, -956
-304, -3948, -1004
-294, -3936, -1100
-210, -3978, -1016
-92, -3898, -968
-68, -3896, -1064
-94, -3844, -1148
-72, -3788, -1360
-66, -3724, -1640
-90, -3688, -1916
-132, -3608, -2204
-198, -3590, -2400
-256, -3526, -2604
-348, -3464, -2792
-364, -3416, -2932
-452, -3376, -3068
-530, -3340, -3140
-648, -3316, -3272
-766, -3220, -3504
-854, -3104, -3892
-872, -2988, -4472
-1056, -2586, -5028
-1156, -2784, -5928
-1178, -2310, -6460
-1212, -2208, -6952
-1218, -1966, -7008
-1256, -1854, -7032
-1122, -1622, -7296
-1036, -1366, -7204
-964, -1148, -6996
-854, -880, -6676
-860, -560, -6246
-984, -252, -5824
