Acc_X,Acc_Y,Acc_Z
-3708,-1244,1864
-3776,-1340,2024
-3852,-1650,2156
-4158,-1906,2472
-4840,-1690,2692
-5242,-1544,2640
-5306,6614,1856
-4692,7766,350
-1236,3616,-400
698,-540,1006
474,-2000,836
-232,532,156
-468,4644,-8192
278,1556,1990
1766,-868,3458
-414,-1782,-4194
-1074,-802,2316
-32,-226,4482
-224,-296,-1420
-936,-530,-2468
-832,-454,316
-412,-202,-54
-346,106,-1860
-290,378,-1666
-88,720,-668
140,1058,-732
208,1510,-1008
312,1988,-664
378,2686,-152
466,3368,-72
484,4354,10
518,5306,264
534,6678,364
488,7886,444
390,8191,588
250,8191,808
72,8191,996
-78,8191,1304
-228,8191,1688
-286,8191,2156
-326,8191,2496
-336,8191,2708
-356,8191,2720
-312,8191,2640
-252,8191,2448
-212,8191,2216
-136,8191,1956
-88,8191,1700
4,8191,1484
46,8191,1360
84,8191,1312
104,8191,1252
124,8191,1232
124,8191,1204
182,8191,1104
190,8191,1010
246,8191,920
268,8191,840
276,8191,788
334,8191,784
344,8191,820
314,8191,828
296,8164,944
296,7904,1022
292,7630,1044
294,7388,1124
282,7052,1164
270,6756,1204
8191,8191,8191
-6160,2266,8191
-2490,5598,8191
-2028,4654,1656
-1424,5126,684
7156,4642,-2
-5224,3224,-8192
-1972,2128,8191
698,530,8191
-556,1492,-4506
-1304,1794,-394
-844,1056,6122
-526,1322,1696
-682,1222,-1412
-500,994,-184
-282,830,390
-250,714,-290
-182,612,-288
40,514,404
46,478,22
78,660,-10
224,944,44
352,1240,-66
444,1764,-84
504,2244,-26
590,2902,84
640,3510,236
658,4356,376
672,5218,608
672,6008,768
662,6838,976
618,7502,1100
558,8060,1188
510,8191,1196
454,8191,1050
412,8110,864
384,7634,564
378,7126,212
428,6550,-92
484,6212,-372
522,5904,-512
602,5748,-632
618,5598,-600
650,5662,-504
632,5844,-368
658,6060,-244
658,6376,-108
656,6660,20
606,6908,64
622,7082,156
596,7180,148
610,7198,164
592,7056,168
568,6736,124
540,6508,124
528,6204,92
516,6018,104
504,5728,140
508,5516,160
512,5348,156
512,5190,156
500,5064,112
518,4974,88
478,4858,48
504,4670,-44
504,4576,-44
514,4464,-84
508,4344,-96
496,4186,-156
496,4048,-172
474,3874,-180
458,3744,-160
476,3520,-184
466,3438,-168
440,3266,-184
442,3108,-160
444,2958,-140
440,2862,-160
434,2732,-132
440,2652,-112
436,2590,-104
440,2508,-100
460,2512,-104
466,2512,-80
474,2580,-72
512,2648,-28
532,2794,10
540,2944,56
564,3032,100
552,3160,136
588,3270,156
630,3438,212
624,3554,256
632,3688,308
658,3826,320
650,3996,368
676,4148,428
666,4326,476
668,4436,552
684,4654,576
688,4764,664
696,4944,680
680,5114,716
692,5190,728
676,5324,756
684,5364,784
692,5446,792
684,5516,796
708,5572,808
684,5580,820
714,5610,796
680,5620,812
680,5646,832
692,5620,812
688,5620,836
696,5624,800
680,5628,824
694,5614,788
688,5596,808
688,5542,804
668,5516,828
664,5464,816
662,5420,796
658,5352,820
648,5308,832
636,5230,852
624,5108,848
632,5042,856
620,4936,812
588,4820,852
590,4710,840
584,4586,868
580,4494,820
576,4380,796
536,4276,808
556,4132,828
532,4010,796
532,3936,808
528,3848,800
512,3728,772
500,3650,788
496,3568,740
482,3486,732
480,3394,744
482,3318,728
480,3284,712
462,3226,712
432,3188,708
466,3152,680
452,3152,712
458,3174,688
466,3196,664
456,3208,640
492,3248,588
470,3312,596
514,3426,536
528,3506,510
536,3594,448
532,3688,428
570,3800,404
574,3872,368
580,3962,332
624,4060,312
618,4212,316
642,4286,272
636,4374,260
636,4454,236
648,4572,236
658,4632,260
676,4698,208
658,4818,236
668,4852,192
662,4936,204
650,4984,208
658,4994,180
662,5060,216
668,5072,180
664,5092,152
658,5096,128
668,5092,136
658,5084,156
654,5096,116
656,5104,120
650,5048,116
644,5010,112
632,4996,96
632,4928,92
610,4924,84
614,4862,68
602,4814,48
614,4740,72
614,4692,56
612,4588,36
580,4572,100
604,4468,60
602,4396,56
572,4334,28
580,4256,36
564,4166,36
574,4084,48
576,4012,22
580,3944,20
576,3874,6
580,3802,48
566,3754,24
562,3698,2
564,3624,6
570,3568,32
562,3524,-14
562,3488,16
558,3452,-14
568,3408,20
580,3404,32
588,3386,36
588,3408,72
606,3424,36
618,3442,52
622,3464,100
632,3490,144
650,3516,164
650,3572,180
654,3612,212
680,3642,228
668,3688,248
662,3702,264
676,3776,300
668,3828,292
670,3860,356
692,3896,380
694,4000,424
688,4044,452
688,4116,464
704,4192,480
724,4268,478
704,4308,514
700,4364,540
710,4416,532
732,4468,548
732,4480,564
732,4524,572
724,4560,596
