Acc_X,Acc_Y,Acc_Z
-344, -3784, -2144
-448, -3602, -2616
-442, -3472, -3328
-716, -3456, -3644
-840, -3308, -4708
-754, -2996, -5702
-894, -2736, -6796
-950, -2504, -7248
-1114, -2312, -7440
-1156, -2162, -7288
-1034, -2010, -6976
-994, -1854, -6588
-1020, -1708, -6256
-960, -1580, -5820
-632, -1250, -5608
-850, -1232, -5092
-674, -1028, -4748
-604, -808, -4432
-356, -412, -4460
-458, -348, -3944
-724, -96, -3348
-906, 36, -2616
-932, 226, -2082
-960, 366, -1456
-458, 764, -848
10, 790, 700
334, 932, 1924
584, 722, 4012
758, 218, 5352
700, 20, 5940
330, -222, 6028
-334, -254, 5686
-920, -24, 4732
-1780, 206, 3808
-2432, 612, 2984
-2704, 1034, 2784
-2282, 1512, 2352
-1280, 2128, 3868
-202, 1924, 6368
464, 1894, 7734
946, 1074, 8191
1494, 966, 8191
1948, 642, 8191
1720, 420, 8191
1022, 548, 8191
-174, 806, 8191
-1156, 890, 8191
-1190, 550, 8191
-846, 698, 8191
-304, 910, 8191
562, 808, 8191
1252, 586, 8191
1688, 536, 8191
2236, 588, 8191
2536, 520, 8191
2528, 400, 8191
2328, 444, 8191
1992, 472, 8191
1448, 508, 8191
930, 578, 8191
426, 742, 8191
404, 904, 8191
858, 894, 8191
1392, 976, 8191
1938, 1132, 8191
2230, 1074, 8191
2396, 1166, 8191
1894, 1462, 8191
1666, 1742, 8191
1006, 2044, 8191
636, 2286, 8191
344, 2494, 8191
60, 2430, 7576
52, 2364, 7196
44, 2372, 6708
-96, 2408, 6288
-326, 2454, 5536
-584, 2400, 4384
-1194, 2708, 2772
-1468, 2638, 1664
-1454, 2378, 542
-1174, 2122, -332
-832, 1768, -1404
-584, 1396, -2184
-386, 898, -2632
-342, 526, -2820
-376, 106, -2816
-426, -142, -2884
-560, -522, -2884
-724, -720, -3024
-718, -900, -3384
-752, -1020, -3888
-934, -1148, -4296
-1112, -1334, -4764
-1352, -1500, -5008
-1416, -1698, -5166
-1462, -1938, -5084
-1422, -2214, -4928
-1396, -2252, -4968
-1414, -2380, -4952
-1400, -2482, -5154
-1234, -2664, -5316
-1064, -2816, -5032
-872, -3022, -4568
-806, -3164, -4016
-758, -3338, -3484
-714, -3446, -2992
-744, -3572, -2640
-696, -3656, -2232
-748, -3792, -1968
-802, -3880, -1752
-862, -3884, -1752
-894, -3918, -1468
-872, -3880, -1284
-820, -3940, -1024
-720, -3970, -888
-612, -3974, -948
-552, -3944, -936
-584, -3892, -988
-614, -3848, -1012
-552, -3764, -1160
-428, -3806, -1360
-330, -3750, -1562
-312, -3754, -1680
-344, -3684, -1832
-388, -3656, -2044
-440, -3636, -2200
-456, -3628, -2372
-526, -3624, -2436
-640, -3662, -2616
-758, -3504, -2896
-1016, -3524, -3268
-1270, -3464, -3668
-1430, -3412, -4224
-1530, -3338, -4608
-1814, -3148, -4904
-1828, -2984, -5152
-1760, -2880, -5292
-1846, -2832, -5428
-1752, -2642, -5972
-1662, -2396, -6776
-1566, -2052, -7444
-1712, -1776, -7980
-1672, -1412, -8192
-1702, -1010, -8192
-1908, -600, -8192
-1992, -226, -8192
-2012, 232, -7908
-1978, 674, -6932
-1864, 964, -5860
-1616, 1296, -4748
-1246, 1534, -3832
-1220, 1768, -2876
-1064, 1912, -1968
-928, 2040, -624
-560, 2296, 200
-352, 2694, 1092
132, 2914, 1976
846, 3268, 3176
1172, 2848, 4928
1258, 2382, 6408
1204, 2108, 8048
716, 1300, 8191
40, 954, 8191
-596, 1708, 8191
-930, 764, 7020
-880, 1132, 7198
-916, 2066, 5052
-850, 2468, 4980
-694, 2664, 6154
-72, 2374, 7332
354, 2070, 8191
798, 1798, 8191
898, 1202, 8191
1406, 696, 8191
1278, 330, 8191
606, 260, 8191
196, 430, 8191
-142, 584, 8191
-676, 532, 8191
-578, 604, 8191
-268, 536, 8191
16, 608, 8191
502, 444, 8191
950, 360, 8191
1378, 206, 8191
1480, 162, 8191
1352, 172, 8191
1078, 188, 8191
616, 196, 8191
204, 248, 8191
-66, 352, 8191
-50, 460, 8191
-68, 546, 8191
222, 660, 8191
436, 676, 8191
658, 714, 8191
960, 748, 8191
862, 748, 8191
566, 816, 8191
250, 1006, 8191
272, 1210, 7598
244, 1136, 7406
-182, 1374, 6552
-152, 1426, 5516
-112, 1508, 4812
-194, 1396, 4424
-146, 1342, 3896
-16, 1312, 3448
-12, 1186, 3424
2, 1036, 3308
-100, 964, 2972
-234, 854, 2240
-340, 812, 1376
-508, 794, 46
-556, 660, -676
-640, 328, -1380
-766, 162, -1788
-640, -196, -1748
-488, -444, -1836
-304, -712, -1704
-308, -838, -1712
-440, -960, -1892
-412, -946, -2566
-420, -1076, -3044
-544, -1214, -3508
-606, -1380, -3820
-676, -1560, -4168
-768, -1728, -4212
-938, -1832, -4380
-946, -1932, -4512
-1034, -2040, -4658
-1068, -2240, -4732
-1024, -2352, -4852
-990, -2490, -4848
-1030, -2490, -4920
-1086, -2592, -4840
-1284, -2728, -4740
-1340, -2858, -4584
-1514, -2858, -4608
-1602, -2948, -4630
-1540, -3036, -4500
-1540, -3122, -4348
-1334, -3174, -4072
