Acc_X,Acc_Y,Acc_Z
-224, -4104, -356
-176, -4062, -296
-300, -3996, -288
-264, -4074, -316
-244, -4026, -180
-184, -4110, -124
-120, -3952, -208
14, -4026, -180
268, -4040, -168
378, -4044, -232
684, -3912, -432
1170, -3732, -672
1934, -3574, -804
2742, -3408, -720
3598, -3304, -720
5050, -3130, -600
5932, -3104, -212
6286, -2948, 132
6566, -2936, 100
6344, -2918, 196
6034, -2720, 12
5820, -2494, -340
5724, -2278, -416
4972, -2270, -288
4130, -1966, -244
3630, -1750, -172
3362, -1800, 212
2842, -1724, 554
2126, -1582, 580
1550, -1326, 576
524, -1210, 432
-608, -1204, 316
-1628, -1352, 604
-2480, -1400, 840
-3652, -1630, 964
-4556, -1724, 852
-5274, -1704, 844
-5604, -2014, 1300
-6074, -2252, 1652
-6194, -2292, 1796
-5828, -2340, 2016
-5234, -2404, 2152
-4760, -2404, 2244
-4224, -2338, 2368
-4080, -2430, 2452
-4198, -2320, 2424
-4096, -2284, 2788
-4422, -2326, 2904
-4966, -2356, 3004
-5582, -2330, 2932
-6068, -2238, 2964
-6382, -2322, 3024
-6698, -2308, 3052
-7326, -2312, 3048
-7712, -2378, 3248
-8030, -2356, 3340
-8192, -2436, 3556
-8192, -2542, 3756
-8192, -2552, 3932
-8192, -2550, 3864
-8192, -2404, 3516
-8192, -2378, 3228
-8192, -2372, 3024
-8192, -2296, 2820
-8192, -2184, 2624
-8192, -2114, 2864
-8192, -2146, 3090
-8192, -2032, 3156
-8192, -1872, 2800
-8124, -1638, 2412
-7748, -1524, 2172
-7166, -1326, 2048
-6434, -1156, 1968
-5978, -1048, 1888
-5552, -950, 1812
-5258, -812, 2064
-4734, -776, 2376
-3980, -732, 2624
-3504, -704, 2752
-3036, -586, 2728
-2484, -552, 2468
-1886, -478, 2312
-1308, -430, 2160
-466, -444, 2058
290, -544, 1788
1208, -600, 1560
2006, -584, 1228
2862, -652, 1048
3426, -834, 1018
3790, -856, 908
4026, -812, 636
4390, -822, 460
5002, -796, 416
5636, -832, 476
6466, -956, 672
7046, -1080, 676
7568, -1240, 356
7860, -1292, -52
8128, -1244, -348
8100, -1196, -640
8152, -1270, -840
8166, -1308, -1080
8191, -1352, -1172
8191, -1426, -1272
8191, -1474, -1336
8191, -1488, -1468
8191, -1494, -1504
8191, -1436, -1568
7992, -1444, -1460
7616, -1534, -1236
7104, -1546, -1116
6458, -1468, -1004
6140, -1486, -1038
6086, -1542, -1120
6248, -1534, -1224
6424, -1524, -1240
6706, -1512, -1300
6894, -1460, -1300
6820, -1326, -1108
6558, -1188, -796
6186, -998, -368
5734, -778, -108
5282, -564, -40
5046, -384, -56
4386, -136, 26
3716, -18, 348
2752, 384, 724
1970, 678, 1112
1330, 700, 1576
716, 564, 2268
-588, 452, 2732
-1872, 352, 2752
-3390, 360, 2440
-4416, 128, 2292
-5028, -356, 2360
-5444, -414, 2276
-5478, -920, 2548
-5756, -1020, 2512
-5476, -1144, 2360
-5516, -1326, 2400
-5700, -1492, 2566
-6056, -1556, 2520
-6104, -1568, 2602
-6016, -1690, 2700
-5714, -1746, 2884
-5258, -1758, 3060
-5238, -1712, 3044
-5600, -1616, 2852
-6238, -1590, 3004
-7138, -1642, 3284
-7764, -1794, 3688
-8192, -1912, 3932
-8192, -2024, 4076
-8024, -2052, 4032
-7614, -2176, 4138
-7206, -2092, 4192
-7092, -2158, 4200
-7576, -2150, 4092
-8192, -2166, 4096
-8192, -2136, 4164
-8192, -2222, 4156
-8192, -2252, 4152
-8192, -2256, 4184
-8192, -2260, 4118
-8192, -2208, 4080
-8192, -2184, 4080
-8192, -1988, 3840
-8192, -1832, 3684
-8192, -1804, 3640
-8192, -1620, 3460
-8192, -1374, 3188
-8192, -1168, 3004
-7664, -964, 2736
-7014, -828, 2704
-6860, -756, 2648
-6426, -484, 2792
-5850, -356, 2884
-5286, -280, 3082
-4742, -100, 3176
-4126, 50, 2980
-3460, 150, 2640
-2840, 272, 2428
-2472, 418, 2148
-1974, 552, 1976
-1406, 548, 2000
-534, 512, 2092
556, 480, 1952
1640, 472, 1724
2690, 314, 1566
3426, 40, 1396
4128, -46, 1196
4652, -96, 816
5202, -84, 526
5702, -124, 180
6318, -232, 100
7038, -414, -96
7918, -602, -264
8191, -708, -484
8191, -760, -744
8191, -782, -968
8191, -784, -1180
8191, -776, -1296
8184, -828, -1288
8166, -898, -1380
8191, -972, -1546
8191, -1014, -1780
8191, -1088, -1976
8191, -1114, -2160
8191, -1092, -2308
8191, -1096, -2284
8191, -1084, -2256
8191, -1114, -2144
8191, -1108, -2228
8018, -1152, -2052
7506, -1036, -1848
6918, -916, -1632
6580, -920, -1168
6352, -886, -984
6484, -788, -944
6510, -760, -832
6222, -768, -360
5976, -534, -360
5632, -240, -464
5602, 88, -460
5176, 364, -140
4302, 472, 656
3454, 724, 1056
2660, 942, 1668
1618, 880, 2352
1082, 924, 2452
84, 908, 2596
-754, 894, 2644
-1970, 850, 2544
-3122, 780, 2236
-4572, 714, 2220
-5320, 332, 2240
-6008, -80, 2432
-6662, -472, 2720
-7190, -786, 3212
-7278, -994, 3564
-7222, -1352, 4284
-6782, -1798, 4642
-6352, -1802, 4588
-5784, -1696, 4188
-5728, -1632, 3760
-6078, -1690, 3484
-6514, -1542, 3232
-6746, -1374, 3300
-6790, -1512, 3688
-7422, -1630, 4048
-7860, -1728, 4126
-8192, -1668, 4188
-8192, -1712, 4380
-8192, -1798, 4626
-8192, -1870, 4816
-8192, -1950, 4840
-8192, -2052, 4912
-8192, -2096, 4892
-8192, -2110, 4788
-8192, -2074, 4460
-8192, -2056, 4236
-8192, -1984, 4032
-8192, -1902, 3792
-8192, -1760, 3574
-8192, -1668, 3400
-8192, -1624, 3388
-8192, -1548, 3448
-8016, -1486, 3472
-7896, -1332, 3412
-7872, -1200, 3328
-7518, -976, 3268
-6910, -776, 3120
-6208, -544, 3004
-5352, -392, 2924
-4660, -248, 2828
-3892, -174, 2720
-3376, -32, 2562
-2516, -50, 2436
-1932, -50, 2304
-1532, -36, 2108
-1204, 32, 1892
-636, 48, 1832
-138, 54, 1764
276, 44, 1632
774, 40, 1512
1602, -24, 1296
2432, -178, 1152
3258, -352, 988
3802, -586, 840
4254, -694, 764
4746, -636, 352
5448, -642, 152
6216, -748, -68
7144, -924, -188
7786, -1226, -200
8052, -1340, -240
7940, -1256, -332
7772, -1162, -408
7664, -1188, -496
7576, -1180, -540
7638, -1284, -514
7744, -1388, -508
7948, -1474, -664
8128, -1432, -920
8168, -1452, -1160
8191, -1392, -1416
8191, -1364, -1644
8191, -1370, -1848
8191, -1362, -1952
8191, -1348, -1968
8191, -1316, -1684
8191, -1174, -1388
7934, -1044, -908
7238, -1114, -276
6952, -1116, 20
6892, -988, -92
6754, -924, -48
6364, -764, -116
6178, -484, -428
5964, -116, -548
5704, 200, -560
5298, 534, -628
4928, 1198, -570
4126, 1682, 204
2974, 1646, 1860
1636, 1712, 2788
500, 1794, 3094
-814, 1816, 2932
-2382, 1456, 2744
-4002, 1098, 2760
-5640, 592, 2792
-6562, 274, 2868
-7060, -22, 3012
-6888, -458, 3096
-6414, -848, 3112
-5766, -1100, 3260
-5262, -1144, 3176
-5180, -1030, 2888
-5292, -998, 3016
-5518, -968, 3320
-6130, -1084, 3660
-6526, -1112, 4080
-7104, -1252, 4280
-7506, -1328, 4432
-7860, -1284, 4384
-8192, -1396, 4440
-8192, -1492, 4536
-8192, -1470, 4556
-8192, -1468, 4804
-8192, -1474, 4788
-8192, -1632, 4904
-8192, -1728, 4892
-8192, -1704, 4728
-8192, -1684, 4440
-8192, -1696, 4168
-8192, -1732, 4012
-8192, -1700, 3992
-8192, -1750, 4060
-8192, -1712, 3960
-8192, -1612, 3784
-8192, -1352, 3352
-8192, -1188, 3032
-7744, -992, 2836
-6970, -902, 2724
-6194, -838, 2724
-5554, -672, 2832
-4856, -586, 2828
-4524, -604, 2876
-4246, -578, 2808
-3994, -440, 2684
-3564, -348, 2684
-2960, -200, 2556
-2254, -180, 2420
-1758, -102, 2046
-1166, -116, 1564
-930, -84, 1244
-698, -128, 1184
-222, -180, 1096
330, -132, 828
894, -226, 728
1716, -318, 704
2794, -572, 784
3494, -860, 1026
3926, -1110, 836
4324, -1246, 428
4570, -1162, 424
5516, -1176, 64
6162, -1252, -136
6480, -1432, -136
6610, -1440, -180
6608, -1408, -276
6544, -1408, -404
6472, -1388, -480
6576, -1426, -456
6588, -1520, -432
6624, -1534, -464
6746, -1572, -556
6908, -1556, -696
7122, -1540, -860
7248, -1436, -1132
7348, -1440, -1236
7638, -1438, -1252
7798, -1426, -1336
7878, -1506, -1268
7878, -1516, -1300
8006, -1404, -1488
8014, -1378, -1464
8040, -1348, -1452
8154, -1300, -1520
8140, -1312, -1596
7594, -1354, -1264
6956, -1100, -1216
6426, -850, -948
6032, -816, -888
5946, -756, -776
5750, -692, -784
5596, -474, -752
5220, -330, -716
4578, -74, -526
4176, 198, -324
3822, 596, 44
3410, 786, 514
2798, 1126, 1046
2218, 1200, 1908
1348, 1386, 2284
428, 1668, 2388
-856, 1764, 2332
-2094, 1712, 2268
-3970, 1650, 2300
-5342, 1422, 2308
-6894, 856, 2676
-8192, 128, 3012
-8192, -366, 3208
-8192, -886, 3132
-8192, -1292, 3320
-7838, -1526, 3544
-6272, -1564, 4048
-4696, -1674, 3916
-4436, -1540, 3704
-5090, -1292, 3384
-6072, -1084, 3132
-7308, -940, 3228
-8178, -1240, 3832
-8192, -1394, 4452
-8192, -1534, 4976
-8192, -1802, 5360
-8192, -2016, 5564
-8192, -2002, 5344
-8192, -1794, 4928
-8192, -1760, 4724
-8192, -1794, 4384
-8192, -1742, 3932
-8192, -1686, 3618
-8192, -1708, 3444
-8192, -1746, 3436
-8192, -1798, 3392
-8192, -1800, 3288
-8192, -1742, 3056
-8192, -1752, 3176
