Acc_X,Acc_Y,Acc_Z
-228,2796,-236
-248,1934,-172
-254,690,-236
-276,-372,-392
-396,-1236,-548
-544,-1746,-620
-578,-2102,-648
-560,-2316,-572
-616,-2472,-624
-652,-2468,-620
-680,-2452,-572
-654,-2320,-600
-570,-2022,-526
-456,-1608,-412
-308,-994,-312
-142,-330,-220
38,366,-200
190,1442,-124
348,2610,-88
460,4368,-16
554,6262,84
80,8191,126
176,8191,248
-68,8191,364
-350,8191,488
-636,8191,780
-562,8191,1276
-636,8191,1788
-624,8191,2276
-496,8191,2564
-326,7736,2736
-190,6762,2684
-90,6380,2432
50,6420,2200
90,6936,1844
148,7528,1560
174,8191,1300
148,8191,1204
108,8191,1176
54,8191,1212
28,8191,1232
-10,8191,1336
-50,8191,1376
-36,8191,1280
10,8191,1112
60,8191,896
132,8191,784
186,8191,640
246,8191,576
220,8004,588
242,7796,684
196,7536,768
200,7304,916
172,7124,1080
160,7030,1208
156,6836,1272
156,6664,1296
172,6358,1328
184,6074,1304
198,5726,1300
212,5338,1272
234,4974,1280
256,4620,1220
230,4264,1172
270,3936,1128
260,3616,1100
272,3374,1104
260,3066,1064
260,2880,1060
264,2620,1076
250,2442,1052
232,2292,1104
208,2118,1164
204,2036,1152
194,1964,1188
184,1910,1192
190,1864,1152
186,1864,1140
196,1920,1092
220,2028,1080
250,2236,944
286,2450,832
324,2706,728
312,2980,732
344,3294,652
372,3612,540
392,4010,498
400,4490,444
386,4904,372
398,5396,300
382,5854,284
360,6362,260
348,6738,196
330,7104,148
276,7324,124
282,7472,24
278,7506,-52
268,7454,-164
274,7328,-268
264,7198,-328
260,7066,-384
270,6974,-424
264,6964,-468
272,6996,-392
228,7072,-292
216,7176,-232
194,7260,-152
200,7308,-64
186,7332,2
164,7284,-32
180,7164,-2
136,7130,-6
160,6940,18
150,6346,-196
144,6648,-16
134,6410,-128
142,6280,-100
136,6150,-112
142,6000,-128
142,5830,-100
130,5588,-92
132,5408,-116
128,5182,-80
124,4956,-100
116,4758,-152
128,4520,-140
116,4330,-164
112,4126,-172
128,3946,-168
108,3782,-172
106,3600,-160
90,3420,-112
94,3276,-148
86,3114,-128
88,2976,-160
90,2858,-156
72,2732,-128
68,2590,-160
76,2544,-172
80,2448,-168
108,2374,-152
86,2324,-172
88,2276,-168
92,2260,-160
112,2300,-116
128,2382,-72
168,2486,-60
200,2620,-6
204,2764,52
224,2920,128
268,3080,124
282,3188,224
286,3336,248
300,3496,272
330,3680,360
330,3818,400
360,4008,478
356,4160,496
378,4408,552
364,4590,632
382,4758,620
386,4978,716
378,5100,692
404,5260,732
392,5384,728
424,5494,768
424,5588,756
436,5704,772
410,5756,776
412,5824,768
444,5858,784
436,5892,788
456,5922,800
464,5956,772
430,5978,756
482,5978,772
466,5980,792
454,5986,764
452,5978,748
466,5964,768
