Acc_X,Acc_Y,Acc_Z
-5532, -646, 1296
-5850, 816, 1144
-6080, 1288, 1772
-4516, -628, 2404
-206, 3854, 1832
-24, 1850, 1196
-112, 804, 612
-260, 644, 92
-376, 634, -288
-416, 456, -772
2502, -3252, 2574
-80, -2138, -3888
368, -1734, 1940
116, -1032, 708
-42, -778, -312
2, -1082, -268
-40, -1004, 200
-104, -976, -64
-84, -754, -122
-54, -432, -196
-42, 110, -140
4, 482, -368
36, 1016, -236
108, 1526, -304
152, 2166, -216
204, 3018, -80
230, 3896, 36
212, 4818, 180
174, 6048, 376
90, 7086, 522
-42, 8178, 716
-172, 8191, 976
-306, 8191, 1188
-434, 8191, 1428
-536, 8191, 1704
-600, 8191, 1980
-658, 8191, 2196
-676, 8191, 2332
-676, 8191, 2364
-698, 8191, 2320
-658, 8191, 2240
-644, 8191, 2058
-600, 8191, 1900
-548, 8191, 1720
-500, 8191, 1628
-468, 8191, 1484
-426, 8191, 1456
-414, 8191, 1424
-386, 8191, 1432
-382, 8191, 1388
-398, 8191, 1348
-308, 8191, 1332
-300, 8191, 1280
-304, 8191, 1260
-302, 8191, 1396
-276, 8191, 1300
-240, 8191, 1356
-260, 8191, 1376
-248, 8191, 1340
-246, 8154, 1432
-238, 7738, 1368
-230, 7648, 1448
-234, 7392, 1396
-212, 7154, 1332
-204, 6712, 1312
-278, 5978, 1272
-134, 5814, 1144
-96, 5710, 1044
-78, 5316, 1046
-76, 5006, 992
-88, 4662, 1022
-86, 4476, 1000
-94, 4282, 976
-88, 4060, 1004
-92, 3814, 992
-106, 3592, 1020
-128, 3342, 1008
-120, 3114, 1042
-146, 2920, 1068
-152, 2674, 1084
-176, 2486, 1064
-186, 2278, 1040
-216, 2076, 1080
-212, 1910, 1060
-200, 1798, 1112
-180, 1664, 1056
-208, 1586, 1042
-190, 1538, 1026
-164, 1528, 1004
-124, 1592, 932
-102, 1716, 912
-32, 1916, 832
20, 2136, 776
64, 2314, 728
112, 2584, 736
178, 2972, 700
196, 3346, 708
236, 3794, 688
260, 4312, 652
282, 4922, 704
292, 5476, 700
286, 6194, 624
264, 6732, 600
260, 7366, 560
208, 7748, 452
204, 8078, 408
190, 8176, 268
212, 8160, 180
216, 7944, -16
236, 7726, -164
272, 7384, -284
282, 7124, -352
320, 6860, -416
336, 6752, -400
316, 6728, -328
308, 6772, -284
290, 6948, -164
282, 7138, 16
252, 7264, 132
258, 7372, 228
256, 7416, 284
216, 7394, 320
230, 7312, 308
208, 7124, 320
200, 6948, 268
200, 6696, 232
202, 6540, 208
220, 6356, 168
206, 6202, 144
192, 6032, 156
212, 5892, 128
204, 5728, 148
220, 5526, 80
226, 5356, 84
220, 5208, 68
228, 5016, -14
230, 4862, -36
232, 4652, -48
236, 4446, -64
242, 4290, -80
256, 4044, -60
230, 3872, -96
220, 3676, -48
220, 3520, -76
212, 3354, -100
220, 3178, -52
204, 3032, -44
204, 2888, -56
196, 2780, -64
208, 2680, -64
204, 2590, -72
172, 2528, -84
186, 2456, -84
194, 2426, -88
184, 2408, -76
204, 2370, -104
176, 2394, -100
190, 2396, -104
196, 2426, -84
190, 2512, 0
200, 2590, 24
208, 2716, 80
212, 2858, 160
220, 3014, 172
236, 3180, 316
268, 3324, 356
260, 3494, 428
262, 3676, 452
278, 3868, 526
242, 4052, 604
264, 4272, 668
276, 4434, 692
274, 4638, 772
282, 4820, 804
274, 5042, 828
288, 5148, 880
276, 5320, 884
296, 5462, 984
292, 5572, 1018
260, 5688, 1008
274, 5778, 1022
276, 5800, 1052
288, 5828, 1026
286, 5876, 1020
274, 5888, 996
278, 5908, 968
272, 5912, 984
292, 5958, 956
298, 5960, 976
274, 5980, 948
304, 6000, 944
312, 5992, 936
296, 5980, 932
296, 5974, 948
286, 5922, 924
282, 5882, 940
282, 5810, 1018
282, 5700, 992
272, 5576, 996
300, 5468, 988
256, 5340, 984
276, 5244, 992
260, 5134, 964
264, 5004, 964
252, 4888, 960
266, 4748, 924
260, 4620, 972
264, 4532, 940
238, 4376, 880
246, 4278, 884
212, 4112, 868
204, 4022, 880
216, 3904, 864
216, 3772, 820
204, 3664, 828
190, 3576, 876
194, 3480, 860
196, 3412, 856
196, 3320, 840
208, 3252, 848
196, 3196, 844
204, 3166, 824
192, 3128, 820
194, 3112, 788
194, 3114, 788
204, 3156, 796
220, 3172, 784
208, 3278, 780
264, 3344, 724
264, 3442, 680
278, 3568, 668
314, 3646, 592
304, 3768, 548
336, 3884, 510
328, 3974, 456
336, 4084, 448
348, 4238, 452
362, 4334, 396
364, 4416, 368
392, 4524, 308
400, 4636, 364
400, 4760, 316
412, 4872, 304
382, 4948, 268
376, 5066, 308
392, 5118, 252
390, 5182, 260
400, 5228, 252
404, 5242, 212
386, 5280, 224
376, 5286, 196
368, 5312, 200
370, 5308, 180
386, 5304, 172
378, 5300, 168
348, 5300, 184
348, 5264, 196
344, 5244, 172
332, 5248, 176
326, 5216, 196
344, 5172, 168
334, 5100, 168
340, 5060, 164
318, 4974, 152
336, 4948, 136
326, 4850, 128
284, 4766, 140
310, 4688, 124
316, 4592, 104
288, 4506, 88
290, 4432, 144
304, 4328, 124
308, 4256, 132
288, 4156, 68
294, 4078, 120
286, 3980, 88
272, 3910, 104
288, 3828, 80
272, 3728, 112
290, 3678, 76
264, 3580, 100
282, 3546, 116
284, 3492, 72
282, 3428, 92
272, 3382, 100
284, 3380, 84
292, 3316, 128
292, 3276, 80
282, 3286, 120
284, 3284, 120
286, 3300, 148
300, 3308, 188
326, 3358, 200
300, 3400, 232
328, 3452, 228
316, 3508, 256
344, 3520, 312
326, 3620, 324
336, 3664, 368
348, 3694, 376
344, 3768, 444
356, 3796, 444
360, 3868, 460
348, 3924, 502
378, 3988, 548
368, 4126, 552
366, 4136, 616
368, 4256, 616
368, 4324, 612
380, 4394, 648
372, 4430, 696
386, 4498, 712
374, 4564, 680
374, 4598, 680
380, 4650, 696
382, 4684, 728
394, 4688, 712
378, 4724, 720
378, 4754, 744
400, 4752, 748
378, 4774, 732
368, 4770, 736
388, 4790, 740
384, 4756, 752
370, 4752, 752
374, 4748, 768
364, 4720, 776
378, 4658, 752
376, 4676, 768
362, 4644, 784
364, 4590, 804
356, 4572, 784
340, 4524, 800
326, 4446, 812
336, 4424, 776
344, 4374, 808
330, 4338, 780
326, 4252, 800
326, 4226, 800
312, 4156, 796
326, 4074, 768
326, 4044, 792
300, 3978, 772
296, 3920, 768
304, 3892, 764
292, 3840, 768
326, 3814, 780
312, 3780, 744
316, 3732, 756
300, 3714, 740
282, 3694, 716
288, 3646, 724
308, 3636, 712
304, 3616, 724
268, 3602, 692
276, 3612, 708
292, 3620, 696
278, 3650, 692
286, 3660, 660
278, 3694, 616
290, 3692, 612
286, 3758, 584
294, 3792, 576
322, 3808, 540
328, 3844, 510
344, 3878, 440
344, 3928, 440
340, 3996, 424
340, 4012, 408
352, 4070, 368
356, 4084, 348
360, 4152, 360
374, 4216, 328
364, 4294, 328
376, 4308, 324
376, 4322, 308
378, 4360, 320
372, 4382, 292
376, 4402, 304
368, 4404, 284
364, 4456, 312
368, 4448, 284
374, 4484, 280
356, 4484, 308
376, 4488, 280
374, 4490, 260
364, 4506, 256
376, 4494, 264
374, 4490, 276
368, 4464, 240
356, 4456, 236
364, 4442, 224
360, 4396, 200
360, 4390, 196
382, 4360, 208
352, 4338, 172
356, 4296, 200
346, 4274, 200
368, 4232, 184
344, 4174, 216
364, 4124, 208
368, 4092, 196
348, 4058, 176
360, 4030, 184
356, 3976, 192
348, 3936, 192
338, 3914, 172
364, 3876, 180
340, 3828, 200
334, 3784, 204
348, 3780, 180
352, 3750, 200
364, 3742, 172
362, 3708, 232
356, 3710, 200
378, 3664, 192
348, 3660, 208
386, 3642, 204
360, 3638, 188
378, 3638, 228
386, 3642, 248
398, 3658, 260
378, 3698, 252
378, 3672, 284
412, 3692, 292
408, 3712, 300
416, 3734, 328
386, 3746, 348
400, 3776, 344
378, 3788, 380
408, 3810, 364
400, 3840, 408
392, 3866, 416
412, 3862, 444
422, 3914, 472
410, 3924, 492
420, 3966, 528
404, 3988, 514
418, 4030, 556
408, 4048, 556
412, 4074, 568
400, 4126, 568
416, 4136, 588
416, 4132, 580
404, 4190, 572
418, 4212, 564
412, 4218, 584
418, 4244, 600
434, 4264, 596
420, 4264, 612
404, 4240, 680
420, 4264, 624
404, 4272, 596
414, 4264, 648
404, 4268, 644
396, 4272, 664
392, 4256, 636
388, 4234, 652
392, 4252, 692
400, 4244, 652
380, 4156, 680
378, 4148, 668
400, 4124, 708
382, 4120, 668
364, 4084, 684
378, 4070, 676
396, 4048, 680
368, 4048, 676
348, 4018, 656
372, 3988, 668
356, 3958, 684
348, 3928, 684
352, 3914, 680
340, 3912, 684
352, 3888, 684
332, 3858, 684
334, 3840, 684
334, 3826, 692
326, 3810, 664
316, 3788, 616
332, 3796, 632
316, 3796, 612
314, 3792, 632
312, 3788, 668
304, 3772, 620
316, 3794, 596
326, 3796, 612
316, 3796, 596
304, 3814, 576
296, 3802, 588
308, 3796, 572
304, 3832, 520
326, 3832, 506
308, 3856, 484
324, 3888, 484
330, 3880, 436
328, 3896, 444
334, 3932, 404
344, 3944, 364
356, 3948, 356
344, 3988, 368
