Acc_X,Acc_Y,Acc_Z
-596, 8191, 998
306, 1754, 1054
482, -388, 380
216, -62, -112
46, 668, -34
-198, 1456, -320
-220, 1040, -400
-212, 16, -852
-194, -976, -1264
-164, -1538, -1568
-116, -1580, -1600
-64, -1288, -1536
-36, -1108, -1380
2, -940, -1268
20, -842, -1180
52, -534, -1092
112, -42, -860
120, 458, -636
142, 958, -472
156, 1674, -216
180, 2734, 24
176, 3468, 148
188, 4816, 364
156, 6082, 568
92, 7658, 732
-24, 8191, 880
-178, 8191, 1052
-304, 8191, 1240
-426, 8191, 1492
-530, 8191, 1896
-614, 8191, 2276
-672, 8191, 2516
-704, 8191, 2660
-728, 8191, 2620
-744, 7968, 2408
-712, 7882, 2096
-636, 7956, 1828
-566, 8191, 1520
-434, 8191, 1292
-336, 8191, 1132
-274, 8191, 1022
-224, 8191, 1048
-234, 8191, 1072
-244, 8191, 1168
-250, 8191, 1320
-260, 8191, 1288
-234, 8191, 1316
-240, 8191, 1276
-216, 8191, 1244
-204, 8191, 1256
-200, 8191, 1304
-186, 8191, 1304
-172, 8191, 1348
-180, 8191, 1368
-220, 8150, 1328
-172, 8046, 1392
-158, 7874, 1384
-146, 7594, 1364
-146, 7238, 1328
-112, 6520, 1248
-46, 6220, 1180
-44, 6108, 1004
-38, 5850, 964
-18, 5414, 972
-28, 5066, 940
-32, 4832, 884
-8, 4572, 892
-24, 4374, 896
-32, 4144, 920
-70, 3814, 964
-66, 3556, 980
-98, 3296, 988
-96, 3106, 1068
-116, 2858, 1040
-144, 2638, 1076
-150, 2396, 1112
-168, 2204, 1096
-186, 1996, 1116
-174, 1876, 1108
-200, 1698, 1096
-200, 1568, 1068
-194, 1472, 1072
-188, 1456, 1054
-156, 1426, 988
-148, 1482, 884
-94, 1592, 832
-54, 1742, 768
-6, 1936, 708
50, 2104, 608
108, 2396, 572
160, 2720, 560
200, 3062, 560
232, 3538, 556
264, 3958, 536
292, 4594, 536
332, 5138, 556
336, 5862, 506
332, 6418, 514
336, 7102, 452
318, 7562, 368
288, 7942, 320
266, 8120, 224
274, 8154, 84
264, 8020, -72
294, 7788, -212
336, 7460, -332
316, 7182, -432
328, 6886, -484
344, 6770, -472
340, 6778, -420
338, 6792, -368
340, 6992, -228
316, 7158, -160
300, 7312, 12
282, 7452, 88
272, 7488, 152
256, 7524, 224
268, 7402, 240
264, 7232, 268
260, 7076, 180
248, 6844, 164
242, 6664, 144
232, 6456, 56
264, 6324, 40
250, 6138, 68
252, 6022, 6
260, 5840, 12
246, 5714, -24
274, 5524, -24
276, 5338, -56
272, 5192, -104
286, 4988, -76
264, 4792, -116
278, 4598, -144
264, 4384, -156
282, 4214, -144
268, 3942, -144
256, 3806, -152
256, 3616, -156
264, 3452, -132
248, 3252, -96
256, 3128, -96
252, 2996, -168
232, 2906, -120
220, 2764, -136
228, 2688, -148
246, 2608, -152
222, 2564, -164
246, 2520, -180
228, 2490, -184
228, 2472, -172
216, 2470, -120
260, 2500, -152
230, 2548, -112
224, 2630, -76
260, 2754, -18
254, 2870, 60
270, 3030, 112
268, 3180, 176
274, 3300, 216
288, 3494, 244
282, 3624, 336
292, 3806, 420
308, 3946, 504
308, 4158, 548
292, 4346, 568
300, 4524, 624
322, 4718, 696
336, 4908, 716
344, 5048, 792
338, 5194, 804
304, 5324, 852
340, 5496, 876
296, 5556, 944
314, 5670, 948
336, 5752, 900
314, 5792, 952
316, 5848, 956
336, 5884, 900
334, 5918, 928
316, 5966, 892
312, 5958, 868
330, 6024, 856
336, 6040, 884
332, 6044, 856
328, 6048, 848
348, 6030, 880
326, 6020, 856
336, 5986, 892
314, 5858, 880
308, 5812, 880
296, 5752, 888
316, 5692, 872
286, 5546, 908
278, 5450, 884
280, 5324, 888
280, 5254, 860
260, 5112, 896
