Acc_X,Acc_Y,Acc_Z
-898, -3024, -5852
-812, -2810, -6620
-770, -2486, -7492
-916, -2310, -7684
-1002, -1984, -7668
-1034, -1762, -7640
-1156, -1496, -7416
-1312, -1358, -7052
-1396, -1046, -6484
-1536, -842, -6116
-1520, -612, -5686
-1562, -352, -5272
-1492, -76, -4788
-1366, 138, -4138
-1130, 432, -3700
-994, 756, -2952
-852, 1128, -2228
-684, 1386, -1066
-536, 1656, 104
-216, 1844, 1284
342, 1880, 2360
860, 1756, 3972
1148, 1528, 5584
1542, 1252, 7718
1774, 686, 8191
1366, 562, 8191
768, 374, 8191
190, 686, 8191
-234, 522, 8191
-24, 648, 8191
180, 536, 8191
368, 474, 8191
492, 314, 8191
732, 196, 8191
1046, 6, 8191
1128, -272, 8191
1030, -460, 8191
760, -526, 8191
170, -586, 8191
-194, -608, 8191
-230, -620, 8191
-86, -612, 8191
524, -586, 8191
1152, -638, 8191
1650, -820, 8191
2052, -764, 8191
2152, -708, 8191
2044, -704, 8191
1768, -644, 8191
1466, -608, 8191
894, -632, 8191
620, -594, 8191
552, -600, 8191
650, -650, 8191
1016, -604, 8191
1286, -616, 8191
1400, -460, 8191
1226, -278, 8191
1062, -58, 8191
736, 16, 8191
526, 84, 8191
392, 224, 7254
422, 388, 5944
224, 340, 5292
172, 440, 4572
-156, 400, 3932
-382, 444, 3452
-466, 340, 3424
-504, 102, 3552
-610, 40, 3180
-712, 28, 2724
-662, -32, 1828
-612, -24, 1060
-552, -52, 400
-490, -188, -124
-278, -946, -308
-588, -370, -1116
-504, -510, -1534
-462, -746, -1868
-464, -844, -2212
-562, -1084, -2544
-608, -1184, -2748
-630, -1374, -2664
-596, -1488, -2888
-552, -1512, -3252
-676, -1572, -3948
-584, -1738, -4084
-500, -1850, -4096
-282, -1902, -4328
-152, -2054, -4512
-108, -2228, -4608
-120, -2364, -4472
-168, -2408, -4384
-280, -2456, -4464
-360, -2564, -4688
-592, -2706, -4748
-610, -2806, -4662
-702, -2828, -4620
-764, -2880, -4384
-836, -3036, -4072
-864, -3092, -3980
-902, -3176, -3964
-904, -3266, -3696
-920, -3364, -3536
-930, -3494, -3280
-820, -3476, -3152
-732, -3498, -3052
-650, -3550, -2832
-636, -3632, -2456
-604, -3696, -2180
-640, -3706, -1920
-636, -3706, -1848
-580, -3716, -1772
-534, -3728, -1768
-460, -3716, -1816
-434, -3676, -2070
-440, -3640, -2284
-460, -3628, -2480
-496, -3606, -2664
-614, -3572, -2876
-694, -3516, -2932
-788, -3406, -3264
-832, -3334, -3484
-896, -3270, -3648
-942, -3208, -3924
-922, -3056, -4380
-1028, -2852, -4642
-1152, -2736, -5104
-1322, -2558, -5664
-1500, -2296, -6388
-1634, -2074, -7084
-1794, -1928, -7372
-1878, -1720, -7792
-1864, -1474, -8052
-1938, -1188, -8192
-1874, -818, -8076
-1798, -462, -7734
-1716, -8, -7206
-1524, 302, -6120
-1384, 552, -4864
-1226, 796, -3736
-1060, 872, -2900
-938, 1050, -2252
-648, 1252, -2012
-600, 1542, -1680
-588, 1862, -1280
-470, 2612, -812
10, 3206, 368
352, 3106, 2168
578, 2728, 4086
1052, 2498, 5528
1316, 2154, 7096
1340, 1678, 8191
1126, 1090, 8191
718, 828, 8191
286, 764, 8191
-254, 606, 8191
-312, 796, 8146
-274, 620, 8191
164, 888, 8191
622, 898, 8191
1648, 694, 8191
1912, 548, 8191
2092, 626, 8191
2076, 634, 8191
1784, 572, 8191
1558, 556, 8191
1326, 572, 8191
