Acc_X,Acc_Y,Acc_Z
-298, -4026, -84
-332, -4026, -16
-220, -4064, 104
20, -4060, 176
306, -4118, 280
640, -4084, 240
918, -3992, 140
1060, -4058, 188
1378, -3940, 224
1732, -3818, 328
1808, -3824, 556
2476, -3672, 668
2900, -3684, 748
3416, -3546, 996
3908, -3476, 1448
4146, -3568, 1652
4438, -3502, 1732
4784, -3300, 1512
5234, -3156, 876
5814, -2880, 188
6218, -2698, -328
6428, -2580, -380
6306, -2404, -336
5846, -2170, -320
5540, -1704, -748
5580, -1348, -1396
5636, -774, -1776
5474, -512, -1404
4730, -318, -534
3454, -168, -120
1628, 288, -80
386, 570, -376
-1354, 548, -468
-2768, 366, -320
-3836, 302, -192
-4548, -84, 392
-5632, -628, 1308
-6104, -1240, 1800
-6470, -1404, 2040
-6410, -1434, 2232
-6082, -1492, 2276
-5502, -1594, 2360
-5304, -1572, 2216
-5490, -1356, 1772
-5932, -1180, 1348
-6326, -1076, 1224
-6562, -1020, 1212
-6498, -936, 1510
-6418, -1326, 1620
-5880, -1546, 2324
-5360, -1560, 3044
-5290, -1620, 3692
-5826, -1650, 4106
-6898, -1530, 3924
-7620, -1508, 3652
-8044, -1422, 3468
-8192, -1430, 3324
-8192, -1448, 3116
-8192, -1388, 2908
-8192, -1378, 2664
-8192, -1392, 2480
-8192, -1254, 2344
-8192, -1310, 2148
-8192, -1444, 2084
-8192, -1580, 1940
-8192, -1572, 1820
-8192, -1536, 1812
-8192, -1384, 1816
-8100, -1314, 1868
-7714, -1462, 2064
-7448, -1440, 2008
-7550, -1296, 1772
-7690, -1226, 1488
-7318, -1076, 1388
-6912, -1014, 1448
-6736, -1132, 1732
-6430, -1070, 1956
-6176, -1062, 2064
-6146, -1084, 2212
-6338, -888, 2192
-6214, -756, 2216
-5774, -696, 2360
-5564, -764, 2586
-5276, -708, 2704
-5056, -564, 2492
-4696, -462, 2240
-4144, -206, 1708
-3406, -114, 1436
-2716, 32, 1368
-1908, 32, 1292
-732, 48, 1538
130, 60, 1712
1546, 54, 1584
2952, -222, 1392
3896, -414, 1108
5060, -404, 676
5736, -440, 336
6218, -356, 92
6430, -404, 24
6786, -508, 92
6968, -534, 148
7118, -520, -26
7176, -434, -432
7326, -464, -820
7658, -552, -1096
8130, -686, -1196
8191, -778, -1516
8191, -892, -1812
8191, -848, -2016
8191, -824, -2252
8191, -844, -2292
8191, -878, -2036
8191, -976, -1820
8104, -1080, -1524
8022, -1100, -1444
7904, -1060, -1550
8008, -976, -1624
8140, -1012, -1672
8191, -1074, -1516
8140, -1214, -1332
7950, -1128, -1436
7900, -924, -1740
7444, -674, -1632
7016, -426, -1340
6558, -360, -1056
6002, -158, -696
5120, -102, -184
4818, 218, 244
4478, 488, 716
4010, 532, 1364
3838, 616, 1792
3936, 966, 1772
3276, 1288, 2300
1876, 1642, 2582
466, 1994, 2532
-1178, 2136, 2236
-2772, 1932, 2276
-5142, 1898, 1920
-6824, 1448, 2204
-8192, 706, 2296
-8192, 76, 2436
-8192, -574, 2640
-8192, -1198, 3000
-8192, -1510, 3396
-7878, -1708, 3660
-7148, -1580, 3244
-6528, -1292, 2820
-6312, -1114, 2448
-6344, -1024, 2216
-6622, -1088, 2220
-7110, -878, 2564
-7804, -1398, 2524
-7718, -1690, 3344
-7688, -1794, 3960
-8192, -1998, 4404
-8192, -2020, 4432
-8192, -1928, 4100
-8192, -1840, 3500
-8192, -1738, 3062
-8192, -1668, 2356
-8192, -1616, 1864
-8192, -1534, 1508
-8192, -1400, 1172
-8192, -1396, 1040
-8192, -1384, 1096
-8192, -1422, 1152
-8192, -1426, 1196
-8192, -1420, 1100
-8192, -1370, 1056
-8102, -1330, 1104
-8000, -1332, 1284
-7952, -1260, 1284
-7912, -1078, 1348
-7708, -1016, 1736
-7474, -1072, 2028
-6812, -932, 2240
-6422, -860, 2136
-6094, -622, 1884
-5496, -374, 1538
-5212, -172, 1268
-4792, -8, 1244
-4172, 14, 1248
-3520, 54, 1244
-2554, 66, 960
-1400, -66, 976
-614, -318, 1022
562, -486, 1108
1572, -798, 1220
2772, -1140, 1288
3446, -1344, 852
3958, -1424, 30
4164, -1296, -168
4564, -1158, -424
5238, -1124, -360
5342, -1434, 360
5080, -1596, 828
4958, -1586, 1120
4822, -1600, 1048
4568, -1548, 740
4424, -1520, 256
4412, -1490, -312
4522, -1440, -832
4794, -1452, -1260
5496, -1418, -1532
6002, -1370, -1732
6384, -1426, -1760
6786, -1536, -1488
7044, -1530, -1376
7280, -1560, -1356
7364, -1556, -1528
7192, -1508, -1554
6978, -1452, -1566
6758, -1474, -1468
6504, -1504, -1352
6288, -1552, -1228
6164, -1568, -1192
6138, -1576, -1296
6182, -1574, -1628
6252, -1572, -1840
6292, -1482, -1864
6496, -1448, -1820
6908, -1368, -1876
7558, -1250, -1972
8012, -1158, -1980
8191, -894, -1940
8138, -620, -1580
7882, -448, -1260
7176, -24, -1388
6458, 218, -1212
5940, 674, -716
5420, 1074, -292
5104, 1404, -56
4858, 1698, 608
3796, 2084, 1472
3060, 2576, 2312
1558, 2904, 2668
-150, 2958, 3146
-2038, 3004, 3352
-3266, 2628, 3660
-4618, 1964, 3688
-5980, 1468, 3590
-7812, 1154, 3332
-8192, 476, 3164
-8192, -80, 3424
-8192, -522, 3424
-8192, -928, 3384
-8192, -984, 3464
-8192, -1490, 3248
-8192, -1426, 3360
-8192, -1292, 3296
-8020, -1304, 3296
-8152, -1430, 3264
-8192, -1358, 3492
-8192, -1392, 3588
-8192, -1628, 4072
-8192, -1646, 4148
-8192, -1720, 4072
-8192, -1752, 3964
-8192, -1750, 3800
-8192, -1674, 3308
-8192, -1586, 2676
-8192, -1544, 2030
-8192, -1314, 1054
-8192, -1244, 514
-8192, -1240, 436
-8192, -1300, 752
-8192, -1396, 1156
-8192, -1336, 1348
-8192, -1320, 1628
-8148, -1276, 1780
-8092, -1112, 1664
-7742, -910, 1492
-7350, -756, 1368
-6632, -612, 1336
-6186, -468, 1208
-5832, -430, 1328
-5572, -348, 1534
-5500, -178, 1616
-5028, 140, 1496
-4518, 352, 1380
-3668, 500, 1372
-2506, 712, 1152
-914, 646, 1034
72, 412, 1136
1268, 144, 1332
2460, -150, 1204
3936, -258, 1076
5360, -884, 546
6118, -1066, 526
6916, -840, -48
6982, -954, -44
6850, -1170, 448
6518, -1384, 1092
5904, -1504, 1420
5556, -1440, 1538
5286, -1374, 1488
5156, -1336, 1300
5540, -1296, 916
6028, -1292, 112
6274, -1382, -542
6500, -1396, -1300
6846, -1348, -1884
6940, -1370, -2400
6864, -1400, -2408
6764, -1380, -2156
7000, -1424, -1768
7096, -1548, -1452
7178, -1560, -1120
6980, -1538, -812
6828, -1474, -468
6622, -1492, -216
6392, -1548, -68
6370, -1612, -200
6588, -1508, -708
6904, -1444, -1144
7016, -1464, -1640
7240, -1370, -2086
7576, -1222, -2620
7948, -1020, -3052
7904, -788, -3024
7440, -680, -2788
6896, -416, -2292
6330, -78, -2016
5588, 374, -1440
5206, 352, -584
4622, 664, 224
4126, 862, 896
3732, 1180, 1312
3626, 1466, 1514
3118, 1738, 1676
2026, 2214, 1392
530, 2764, 948
-526, 3234, 596
-2462, 3270, 736
-3992, 3072, 1208
-6108, 2660, 1388
-8192, 1832, 2116
-8192, 968, 2840
-8192, 60, 3672
-8192, -860, 4516
-8192, -1404, 5196
-8192, -1742, 6036
-7374, -2006, 6240
-6256, -1998, 5476
-5514, -1514, 4138
-5602, -1060, 2582
-6610, -864, 1944
-7642, -868, 1788
-8192, -884, 2164
-8192, -1158, 3038
-8192, -1434, 3720
-8192, -1820, 4544
-8192, -1972, 4788
-8192, -1988, 4564
-8192, -1862, 4060
-8192, -1630, 3340
-8192, -1448, 2604
-8192, -1274, 2026
-8192, -1144, 1432
-8192, -1006, 936
-8192, -946, 812
-8192, -1088, 1040
-8192, -1104, 1054
-8192, -1000, 1224
-8192, -934, 1492
-8192, -914, 1760
-7894, -832, 1768
-7756, -652, 1760
-7834, -474, 1816
-7724, -236, 1936
-7458, -52, 2344
-6882, 222, 2312
-6006, 400, 2152
-5206, 358, 1900
-4368, 560, 1336
-3500, 644, 916
-2820, 686, 712
-2108, 604, 560
-1080, 574, 364
-500, 496, 296
16, 456, 412
916, 414, 332
1696, 314, 372
3608, 36, 232
5212, -552, -46
5650, -892, 288
6248, -694, -228
6372, -688, -496
6518, -676, -260
6536, -768, -6
6318, -846, 276
6226, -886, 360
6056, -824, 288
6016, -802, 268
6220, -872, 240
6698, -918, 68
7130, -936, -476
7428, -956, -804
7654, -1010, -1076
7874, -980, -1388
7872, -968, -1628
7764, -1076, -1692
7656, -1188, -1546
7354, -1224, -1492
7120, -1308, -1288
6926, -1276, -1152
6680, -1280, -1008
6354, -1300, -1016
6280, -1374, -932
6222, -1494, -816
6126, -1612, -676
6086, -1652, -764
6348, -1536, -1224
6614, -1552, -1416
6684, -1660, -1420
6824, -1538, -1652
7292, -1362, -1704
7410, -1304, -1636
7096, -1266, -1440
6638, -1024, -1244
5994, -686, -1140
5220, -348, -764
4214, -120, -464
3796, -58, -176
3620, 228, 120
3398, 154, 796
3234, 166, 1076
3302, 602, 1188
3026, 1102, 1424
1570, 1716, 1664
302, 2086, 1776
-914, 2534, 1304
