Acc_X,Acc_Y,Acc_Z
80, -4008, 148
56, -4000, 68
56, -4062, 144
88, -4022, 148
158, -3976, 116
-124, -4030, 272
186, -4104, 444
190, -4044, 364
422, -3992, 518
496, -3996, 592
710, -4058, 832
858, -4014, 952
902, -4130, 736
948, -3946, 712
1294, -3688, 276
1676, -3662, 240
2376, -3616, 464
2974, -3504, 564
3486, -3612, 712
3698, -3476, 660
4014, -3344, 736
4382, -3178, 648
4546, -3080, 712
4636, -3000, 784
4762, -2844, 856
4548, -2746, 732
4404, -2520, 506
4268, -2212, 216
4120, -2078, -180
3782, -1968, -220
3690, -1840, -120
3224, -1784, 204
2670, -1594, 492
2126, -1552, 440
1510, -1494, 612
360, -1362, 536
-596, -1214, 500
-1278, -1282, 736
-2192, -1578, 1104
-2840, -1600, 1504
-3550, -1712, 1068
-4022, -1660, 1372
-4706, -1470, 1112
-5174, -2056, 628
-5360, -1980, 844
-5370, -1868, 820
-5648, -1796, 1076
-5736, -1820, 1472
-5788, -1924, 1768
-5950, -1924, 2072
-6148, -1858, 2144
-6296, -1950, 2144
-6494, -1920, 2340
-6618, -1996, 2396
-6742, -2032, 2586
-7026, -2036, 2492
-7458, -2126, 2508
-7778, -2192, 2532
-8110, -2174, 2408
-8192, -2266, 2460
-8192, -2288, 2460
-8192, -2312, 2404
-8192, -2200, 2244
-8192, -2286, 2120
-8192, -2308, 1804
-8192, -2286, 1508
-8192, -2088, 1196
-8192, -2040, 1272
-8192, -2070, 1364
-8192, -2166, 1516
-8192, -2024, 1340
-8192, -1984, 1340
-8192, -1840, 1328
-8192, -1768, 1324
-7940, -1572, 1534
-7340, -1460, 1792
-6854, -1452, 1804
-6772, -1340, 1700
-6500, -1142, 1412
-5982, -894, 1196
-5394, -816, 1088
-5266, -868, 876
-5400, -680, 708
-5098, -526, 840
-4172, -484, 1196
-3472, -414, 1368
-2686, -404, 1440
-1908, -318, 1244
-1204, -202, 1084
-12, -332, 1088
802, -500, 1112
1798, -696, 1168
2690, -808, 1380
3650, -904, 1328
4284, -976, 1232
4958, -1092, 1096
5490, -1158, 1112
5866, -1196, 1160
6160, -1198, 1352
6098, -1240, 1680
5868, -1270, 1776
5792, -1220, 1538
5884, -1224, 1404
6112, -1192, 1026
6314, -1120, 832
6706, -1210, 660
7352, -1214, 456
7760, -1256, 192
8172, -1270, -6
8170, -1254, -252
8084, -1220, -380
8052, -1178, -476
7834, -1214, -476
7598, -1262, -336
7424, -1266, -292
7586, -1296, -284
7812, -1214, -408
8098, -1232, -560
8191, -1270, -620
8191, -1318, -660
8184, -1224, -744
7826, -862, -940
7406, -634, -1124
7056, -298, -908
6986, -356, -640
6592, -406, -208
5946, -152, -88
5198, 114, -24
4718, 518, -40
4220, 648, 204
3586, 792, 232
3454, 1080, 328
3100, 1350, 744
2262, 1526, 1558
886, 1672, 2036
-164, 1948, 1972
-1082, 2196, 1840
-1820, 1884, 2050
-2858, 1524, 2340
-4442, 1480, 2616
-5828, 854, 2868
-7284, 132, 3164
-8192, -362, 3440
-8192, -886, 3564
-8192, -1036, 3652
-7134, -932, 3736
-6234, -920, 4126
-5560, -1092, 4384
-5582, -1128, 4672
-6470, -1088, 4348
-7388, -1050, 3900
-8062, -944, 3648
-8192, -966, 3588
-8192, -1020, 3640
-8192, -1132, 3760
-8192, -1198, 3772
-8192, -1304, 3860
-8192, -1366, 3624
-8192, -1366, 3328
-8192, -1300, 2688
-8192, -1176, 2300
-8192, -1104, 1888
-8192, -1136, 1720
-8192, -1144, 1522
-8192, -1110, 1268
-8192, -1144, 1100
-8192, -1162, 1052
-8192, -1124, 1030
-8192, -1144, 980
-8192, -1056, 1072
-8192, -936, 1100
-8192, -828, 1240
-8192, -788, 1456
-8144, -628, 1588
-7796, -652, 1852
-7614, -628, 1920
-7460, -548, 1892
-7270, -340, 1780
-6804, -196, 1760
-6384, -196, 1856
-6080, -192, 2082
-5558, 30, 2020
-5076, 102, 1860
-4350, 168, 1776
-3834, 366, 1788
-3110, 438, 1984
-2356, 612, 2124
-1374, 616, 2184
-500, 576, 2336
476, 492, 2508
1510, 318, 2676
2472, 236, 2384
3560, -52, 2020
4386, -330, 1676
5208, -576, 1340
6028, -650, 1092
7034, -784, 752
7758, -944, 548
8010, -1118, 412
7874, -1140, 532
7676, -1152, 784
7308, -1280, 1026
6624, -1352, 1308
6156, -1460, 1332
5854, -1520, 1128
5758, -1444, 596
5752, -1408, 152
6020, -1426, -396
6190, -1490, -688
6428, -1538, -848
6774, -1474, -948
7204, -1540, -1024
7450, -1516, -968
7592, -1508, -736
7520, -1544, -612
7322, -1572, -534
7248, -1560, -456
7210, -1524, -360
7266, -1358, -580
7512, -1284, -716
7652, -1372, -560
7512, -1374, -484
7492, -984, -800
7376, -902, -952
7318, -724, -1140
6890, -620, -928
6374, -366, -1008
6004, -2, -1148
5768, 514, -1244
5342, 718, -732
4386, 968, -308
3774, 1386, 52
2996, 1764, 572
1798, 2016, 1348
248, 2096, 1944
-940, 2122, 2328
-2022, 1960, 2372
-2874, 1776, 2168
-4264, 1442, 2240
-5718, 924, 2630
-7118, 426, 2720
-8192, -244, 3004
-8192, -854, 3396
-8192, -1318, 3736
-8192, -1716, 3916
-8192, -1748, 4052
-7730, -1974, 4248
-7392, -1908, 3932
-7302, -1712, 3472
-7506, -1528, 3228
-7812, -1564, 3188
-8192, -1594, 3252
-8192, -1732, 3460
-8192, -1820, 3712
-8192, -1876, 3828
-8192, -1944, 3948
-8192, -1972, 3860
-8192, -1910, 3464
-8192, -1858, 3090
-8192, -1798, 2612
-8192, -1804, 2200
-8192, -1762, 1720
-8192, -1656, 1360
-8192, -1560, 1006
-8192, -1584, 972
-8192, -1608, 856
-8192, -1496, 744
-8192, -1372, 808
-8192, -1374, 876
-8192, -1282, 920
-7744, -1226, 988
-7454, -1116, 836
-7436, -1036, 788
-7446, -1040, 788
-7204, -782, 812
-6658, -754, 1172
-6196, -578, 1252
-5478, -428, 1200
-5024, -240, 1156
-4054, 28, 972
-3196, 230, 900
-2336, 158, 1356
-1636, 2, 1700
-828, -76, 1720
-720, -254, 1896
-334, -136, 1700
766, -8, 1550
1716, -88, 1584
2654, -382, 1788
3538, -722, 1788
4386, -902, 1652
5640, -1006, 1432
6640, -1110, 1212
7558, -1386, 1288
7904, -1564, 1480
7682, -1592, 1542
7166, -1560, 1604
6750, -1474, 1408
6544, -1440, 1220
6344, -1476, 1208
6182, -1534, 1156
6068, -1576, 1044
6120, -1654, 856
6232, -1600, 506
6370, -1664, 18
6562, -1712, -328
6772, -1690, -652
6920, -1684, -828
6914, -1752, -864
6794, -1746, -884
6574, -1690, -828
6274, -1686, -550
5936, -1768, -260
5824, -1732, -96
5814, -1734, -64
5956, -1742, -60
6204, -1742, -100
6336, -1806, -276
6540, -1676, -554
6720, -1532, -868
6570, -1512, -1056
6536, -1288, -1124
6446, -1122, -1028
6164, -1010, -732
5750, -946, -488
5310, -712, -300
5002, -412, -68
4288, -64, 252
3552, 236, 352
2782, 568, 510
2184, 876, 764
1204, 1240, 908
278, 1448, 1060
-534, 1646, 1072
-1104, 1604, 1484
-1978, 1270, 2026
-2984, 1016, 2232
-4530, 816, 2388
-6374, 388, 2600
-7870, -68, 2836
-8192, -924, 3040
-8192, -1466, 3252
-8192, -1962, 3216
-8192, -2112, 2992
-7844, -2010, 2636
-6802, -1954, 2548
-6182, -1912, 2696
-6122, -1846, 2660
-6682, -1792, 2604
-7642, -1732, 2620
-8192, -1742, 2608
-8192, -1812, 2860
-8192, -2008, 3272
-8192, -2104, 3476
-8192, -2244, 3580
-8192, -2300, 3624
-8192, -2306, 3400
-8192, -2036, 2924
-8192, -2000, 2404
-8192, -1918, 1948
-8192, -1776, 1562
-8192, -1824, 1368
-8192, -1720, 1060
-8192, -1624, 948
-7864, -1734, 1108
-7680, -1798, 1136
-7750, -1766, 1104
-7684, -1668, 964
-7560, -1622, 964
-7182, -1550, 1026
-6694, -1454, 916
-6230, -1344, 868
-5842, -1412, 988
-5596, -1352, 988
-5264, -1320, 1088
-4786, -1230, 984
-4188, -1040, 740
-3902, -1032, 816
-3612, -908, 552
-3428, -720, 460
-3408, -624, 420
-3218, -378, 340
-2656, -220, 408
-1728, -292, 740
-724, -324, 982
356, -436, 1332
1672, -682, 1484
2888, -1080, 1800
3564, -1366, 2040
4312, -1596, 1964
5252, -1638, 1680
6252, -1636, 1320
6650, -1656, 1296
6596, -1758, 1484
6444, -1764, 1728
6172, -1606, 1724
6008, -1736, 2136
5836, -1772, 2188
5754, -1832, 1964
5814, -1812, 1570
5960, -1732, 776
6100, -1690, 228
6100, -1646, -308
6432, -1628, -708
6658, -1586, -1000
6768, -1576, -992
6836, -1650, -776
7038, -1646, -592
7148, -1606, -508
6998, -1664, -256
6776, -1690, -92
6876, -1578, -196
6986, -1564, -144
7172, -1668, -40
7180, -1656, 12
7200, -1638, -252
7204, -1470, -460
7088, -1304, -684
6706, -1328, -522
6462, -1334, -416
6064, -1288, -444
5652, -950, -468
5260, -694, -444
4508, -492, -328
4036, -356, 24
3376, -12, 272
3004, 318, 436
2572, 534, 636
2074, 868, 752
1196, 1114, 712
480, 1458, 264
-476, 1582, -84
-1388, 1596, -216
-2432, 1530, -468
-4202, 1318, -248
-5738, 764, 668
-6972, 174, 1320
-7936, -594, 2344
-7922, -1180, 3138
-7318, -1720, 3570
-6684, -1816, 3972
-5966, -2166, 3804
-5486, -1736, 3030
-5164, -1396, 2336
-5324, -1028, 1892
-6362, -934, 1808
-7370, -980, 1740
-8138, -1050, 1720
-8192, -1158, 2032
-8192, -1236, 2340
-8192, -1492, 2824
-8192, -1678, 3416
-8192, -1786, 3712
-8192, -1816, 3684
-8192, -1686, 3196
-8192, -1538, 2784
-8192, -1326, 2320
-8192, -1280, 2116
-8192, -1256, 1812
-8192, -1266, 1552
-8192, -1180, 1264
-8192, -1166, 1060
-8192, -1234, 1112
-8192, -1270, 1046
-8192, -1252, 1132
-8192, -1192, 1276
-8192, -1144, 1300
-8192, -1132, 1336
-8192, -1010, 1236
-7870, -864, 1014
-7654, -776, 900
-7712, -678, 940
-7800, -452, 804
-7222, -214, 992
-6364, -120, 1116
-5654, 28, 1292
-5290, 208, 1328
-4536, 536, 1264
-3604, 608, 1200
-2730, 640, 988
-2266, 854, 608
-1308, 946, 236
-274, 894, 236
1340, 678, 344
2572, 150, 644
3800, -436, 892
4520, -786, 1336
5522, -1158, 1288
6480, -1356, 1188
7598, -1576, 1352
8191, -1796, 1784
7952, -1928, 2120
7228, -2034, 2280
6478, -1952, 2260
5636, -1836, 2196
5064, -1856, 2328
4630, -1950, 2408
4480, -2080, 2428
4480, -2208, 2488
4506, -2386, 2320
4600, -2472, 2080
